Varste si grupe de varsta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Maramures, Anul 2002, Numar persoane, 2
0- 4 ani, Maramures, Anul 2003, Numar persoane, 9
0- 4 ani, Maramures, Anul 2005, Numar persoane, 1
0- 4 ani, Maramures, Anul 2006, Numar persoane, 1
0- 4 ani, Maramures, Anul 2008, Numar persoane, 1
0- 4 ani, Maramures, Anul 2009, Numar persoane, 1
0- 4 ani, Maramures, Anul 2010, Numar persoane, 3
0- 4 ani, Maramures, Anul 2011, Numar persoane, 37
0- 4 ani, Maramures, Anul 2012, Numar persoane, 27
0- 4 ani, Maramures, Anul 2013, Numar persoane, 31
0- 4 ani, Maramures, Anul 2014, Numar persoane, 12
0- 4 ani, Maramures, Anul 2015, Numar persoane, 14
0- 4 ani, Maramures, Anul 2016, Numar persoane, 15
0- 4 ani, Maramures, Anul 2017, Numar persoane, 15
0- 4 ani, Maramures, Anul 2018, Numar persoane, 28
0- 4 ani, Maramures, Anul 2019, Numar persoane, 18
0- 4 ani, Maramures, Anul 2020, Numar persoane, 14
0- 4 ani, Maramures, Anul 2021, Numar persoane, 26
0- 4 ani, Maramures, Anul 2022, Numar persoane, 33
0- 4 ani, Satu Mare, Anul 1992, Numar persoane, 60
0- 4 ani, Satu Mare, Anul 1993, Numar persoane, 39
0- 4 ani, Satu Mare, Anul 1994, Numar persoane, 20
0- 4 ani, Satu Mare, Anul 1995, Numar persoane, 25
0- 4 ani, Satu Mare, Anul 1996, Numar persoane, 35
0- 4 ani, Satu Mare, Anul 1997, Numar persoane, 44
0- 4 ani, Satu Mare, Anul 1998, Numar persoane, 22
0- 4 ani, Satu Mare, Anul 1999, Numar persoane, 30
0- 4 ani, Satu Mare, Anul 2000, Numar persoane, 95
0- 4 ani, Satu Mare, Anul 2001, Numar persoane, 72
0- 4 ani, Satu Mare, Anul 2002, Numar persoane, 8
0- 4 ani, Satu Mare, Anul 2003, Numar persoane, 20
0- 4 ani, Satu Mare, Anul 2004, Numar persoane, 8
0- 4 ani, Satu Mare, Anul 2005, Numar persoane, 1
0- 4 ani, Satu Mare, Anul 2006, Numar persoane, 1
0- 4 ani, Satu Mare, Anul 2009, Numar persoane, 1
0- 4 ani, Satu Mare, Anul 2010, Numar persoane, 1
0- 4 ani, Satu Mare, Anul 2011, Numar persoane, 32
0- 4 ani, Satu Mare, Anul 2012, Numar persoane, 28
0- 4 ani, Satu Mare, Anul 2013, Numar persoane, 23
0- 4 ani, Satu Mare, Anul 2014, Numar persoane, 9
0- 4 ani, Satu Mare, Anul 2015, Numar persoane, 5
0- 4 ani, Satu Mare, Anul 2016, Numar persoane, 13
0- 4 ani, Satu Mare, Anul 2017, Numar persoane, 30
0- 4 ani, Satu Mare, Anul 2018, Numar persoane, 38
0- 4 ani, Satu Mare, Anul 2019, Numar persoane, 33
0- 4 ani, Satu Mare, Anul 2020, Numar persoane, 17
0- 4 ani, Satu Mare, Anul 2021, Numar persoane, 22
0- 4 ani, Satu Mare, Anul 2022, Numar persoane, 33
0- 4 ani, Salaj, Anul 1992, Numar persoane, 7
0- 4 ani, Salaj, Anul 1993, Numar persoane, 4
0- 4 ani, Salaj, Anul 1994, Numar persoane, 5
0- 4 ani, Salaj, Anul 1995, Numar persoane, 25
0- 4 ani, Salaj, Anul 1996, Numar persoane, 27
0- 4 ani, Salaj, Anul 1997, Numar persoane, 43
0- 4 ani, Salaj, Anul 1998, Numar persoane, 28
0- 4 ani, Salaj, Anul 1999, Numar persoane, 26
0- 4 ani, Salaj, Anul 2000, Numar persoane, 37
0- 4 ani, Salaj, Anul 2001, Numar persoane, 21
0- 4 ani, Salaj, Anul 2002, Numar persoane, 3
0- 4 ani, Salaj, Anul 2003, Numar persoane, 7
0- 4 ani, Salaj, Anul 2004, Numar persoane, 3
0- 4 ani, Salaj, Anul 2006, Numar persoane, 1
0- 4 ani, Salaj, Anul 2008, Numar persoane, 1
0- 4 ani, Salaj, Anul 2009, Numar persoane, 1
0- 4 ani, Salaj, Anul 2011, Numar persoane, 7
0- 4 ani, Salaj, Anul 2012, Numar persoane, 9
0- 4 ani, Salaj, Anul 2013, Numar persoane, 9
0- 4 ani, Salaj, Anul 2014, Numar persoane, 4
0- 4 ani, Salaj, Anul 2015, Numar persoane, 1
0- 4 ani, Salaj, Anul 2016, Numar persoane, 10
0- 4 ani, Salaj, Anul 2017, Numar persoane, 7
0- 4 ani, Salaj, Anul 2018, Numar persoane, 10
0- 4 ani, Salaj, Anul 2019, Numar persoane, 4
0- 4 ani, Salaj, Anul 2020, Numar persoane, 3
0- 4 ani, Salaj, Anul 2021, Numar persoane, 6
0- 4 ani, Salaj, Anul 2022, Numar persoane, 9
0- 4 ani, Alba, Anul 1992, Numar persoane, 35
0- 4 ani, Alba, Anul 1993, Numar persoane, 36
0- 4 ani, Alba, Anul 1994, Numar persoane, 21
0- 4 ani, Alba, Anul 1995, Numar persoane, 22
0- 4 ani, Alba, Anul 1996, Numar persoane, 15
0- 4 ani, Alba, Anul 1997, Numar persoane, 15
0- 4 ani, Alba, Anul 1998, Numar persoane, 12
0- 4 ani, Alba, Anul 1999, Numar persoane, 13
0- 4 ani, Alba, Anul 2000, Numar persoane, 16
0- 4 ani, Alba, Anul 2001, Numar persoane, 16
0- 4 ani, Alba, Anul 2002, Numar persoane, 3
0- 4 ani, Alba, Anul 2003, Numar persoane, 1
0- 4 ani, Alba, Anul 2005, Numar persoane, 1
0- 4 ani, Alba, Anul 2006, Numar persoane, 1
0- 4 ani, Alba, Anul 2008, Numar persoane, 1
0- 4 ani, Alba, Anul 2009, Numar persoane, 1
0- 4 ani, Alba, Anul 2011, Numar persoane, 25
0- 4 ani, Alba, Anul 2012, Numar persoane, 25
0- 4 ani, Alba, Anul 2013, Numar persoane, 12
0- 4 ani, Alba, Anul 2014, Numar persoane, 5
0- 4 ani, Alba, Anul 2015, Numar persoane, 3
0- 4 ani, Alba, Anul 2016, Numar persoane, 5
0- 4 ani, Alba, Anul 2017, Numar persoane, 9
0- 4 ani, Alba, Anul 2018, Numar persoane, 8
0- 4 ani, Alba, Anul 2019, Numar persoane, 9
0- 4 ani, Alba, Anul 2020, Numar persoane, 3
0- 4 ani, Alba, Anul 2021, Numar persoane, 10
0- 4 ani, Alba, Anul 2022, Numar persoane, 19
0- 4 ani, Brasov, Anul 1992, Numar persoane, 58
0- 4 ani, Brasov, Anul 1993, Numar persoane, 77
0- 4 ani, Brasov, Anul 1994, Numar persoane, 64
0- 4 ani, Brasov, Anul 1995, Numar persoane, 59
0- 4 ani, Brasov, Anul 1996, Numar persoane, 54
0- 4 ani, Brasov, Anul 1997, Numar persoane, 71
0- 4 ani, Brasov, Anul 1998, Numar persoane, 84
0- 4 ani, Brasov, Anul 1999, Numar persoane, 45
0- 4 ani, Brasov, Anul 2000, Numar persoane, 81
0- 4 ani, Brasov, Anul 2001, Numar persoane, 51
0- 4 ani, Brasov, Anul 2002, Numar persoane, 27
0- 4 ani, Brasov, Anul 2003, Numar persoane, 7
0- 4 ani, Brasov, Anul 2004, Numar persoane, 6
0- 4 ani, Brasov, Anul 2005, Numar persoane, 1
0- 4 ani, Brasov, Anul 2006, Numar persoane, 3
0- 4 ani, Brasov, Anul 2007, Numar persoane, 4
0- 4 ani, Brasov, Anul 2008, Numar persoane, 1
0- 4 ani, Brasov, Anul 2009, Numar persoane, 9
0- 4 ani, Brasov, Anul 2010, Numar persoane, 1
0- 4 ani, Brasov, Anul 2011, Numar persoane, 45
0- 4 ani, Brasov, Anul 2012, Numar persoane, 38
0- 4 ani, Brasov, Anul 2013, Numar persoane, 51
0- 4 ani, Brasov, Anul 2014, Numar persoane, 9
0- 4 ani, Brasov, Anul 2015, Numar persoane, 18
0- 4 ani, Brasov, Anul 2016, Numar persoane, 22
0- 4 ani, Brasov, Anul 2017, Numar persoane, 30
0- 4 ani, Brasov, Anul 2018, Numar persoane, 31
0- 4 ani, Brasov, Anul 2019, Numar persoane, 26
0- 4 ani, Brasov, Anul 2020, Numar persoane, 15
0- 4 ani, Brasov, Anul 2021, Numar persoane, 21
0- 4 ani, Brasov, Anul 2022, Numar persoane, 36
0- 4 ani, Covasna, Anul 1992, Numar persoane, 8
0- 4 ani, Covasna, Anul 1993, Numar persoane, 6
0- 4 ani, Covasna, Anul 1994, Numar persoane, 8
0- 4 ani, Covasna, Anul 1995, Numar persoane, 8
0- 4 ani, Covasna, Anul 1996, Numar persoane, 23
0- 4 ani, Covasna, Anul 1997, Numar persoane, 13
0- 4 ani, Covasna, Anul 1998, Numar persoane, 11
0- 4 ani, Covasna, Anul 1999, Numar persoane, 4
0- 4 ani, Covasna, Anul 2000, Numar persoane, 21
0- 4 ani, Covasna, Anul 2001, Numar persoane, 9
0- 4 ani, Covasna, Anul 2003, Numar persoane, 5
0- 4 ani, Covasna, Anul 2004, Numar persoane, 2
0- 4 ani, Covasna, Anul 2007, Numar persoane, 2
0- 4 ani, Covasna, Anul 2011, Numar persoane, 21
0- 4 ani, Covasna, Anul 2012, Numar persoane, 9
0- 4 ani, Covasna, Anul 2013, Numar persoane, 5
0- 4 ani, Covasna, Anul 2014, Numar persoane, 3
0- 4 ani, Covasna, Anul 2016, Numar persoane, 4
0- 4 ani, Covasna, Anul 2017, Numar persoane, 1
0- 4 ani, Covasna, Anul 2018, Numar persoane, 1
0- 4 ani, Covasna, Anul 2019, Numar persoane, 1
0- 4 ani, Covasna, Anul 2021, Numar persoane, 3
0- 4 ani, Covasna, Anul 2022, Numar persoane, 2
0- 4 ani, Harghita, Anul 1992, Numar persoane, 19
0- 4 ani, Harghita, Anul 1993, Numar persoane, 25
0- 4 ani, Harghita, Anul 1994, Numar persoane, 29
0- 4 ani, Harghita, Anul 1995, Numar persoane, 36
0- 4 ani, Harghita, Anul 1996, Numar persoane, 21
0- 4 ani, Harghita, Anul 1997, Numar persoane, 31
0- 4 ani, Harghita, Anul 1998, Numar persoane, 19
0- 4 ani, Harghita, Anul 1999, Numar persoane, 24
0- 4 ani, Harghita, Anul 2000, Numar persoane, 35
0- 4 ani, Harghita, Anul 2001, Numar persoane, 36
0- 4 ani, Harghita, Anul 2002, Numar persoane, 4
0- 4 ani, Harghita, Anul 2003, Numar persoane, 3
0- 4 ani, Harghita, Anul 2004, Numar persoane, 5
0- 4 ani, Harghita, Anul 2005, Numar persoane, 2
0- 4 ani, Harghita, Anul 2008, Numar persoane, 1
0- 4 ani, Harghita, Anul 2009, Numar persoane, 2
0- 4 ani, Harghita, Anul 2011, Numar persoane, 18
0- 4 ani, Harghita, Anul 2012, Numar persoane, 7
0- 4 ani, Harghita, Anul 2013, Numar persoane, 7
0- 4 ani, Harghita, Anul 2014, Numar persoane, 6
0- 4 ani, Harghita, Anul 2015, Numar persoane, 4
0- 4 ani, Harghita, Anul 2016, Numar persoane, 3
0- 4 ani, Harghita, Anul 2017, Numar persoane, 3
0- 4 ani, Harghita, Anul 2018, Numar persoane, 1
0- 4 ani, Harghita, Anul 2019, Numar persoane, 1
0- 4 ani, Harghita, Anul 2020, Numar persoane, 2
0- 4 ani, Harghita, Anul 2021, Numar persoane, 2
0- 4 ani, Harghita, Anul 2022, Numar persoane, 5
0- 4 ani, Mures, Anul 1992, Numar persoane, 65
0- 4 ani, Mures, Anul 1993, Numar persoane, 53
0- 4 ani, Mures, Anul 1994, Numar persoane, 26
0- 4 ani, Mures, Anul 1995, Numar persoane, 36
0- 4 ani, Mures, Anul 1996, Numar persoane, 26
0- 4 ani, Mures, Anul 1997, Numar persoane, 25
0- 4 ani, Mures, Anul 1998, Numar persoane, 37
0- 4 ani, Mures, Anul 1999, Numar persoane, 40
0- 4 ani, Mures, Anul 2000, Numar persoane, 65
0- 4 ani, Mures, Anul 2001, Numar persoane, 30
0- 4 ani, Mures, Anul 2002, Numar persoane, 16
0- 4 ani, Mures, Anul 2003, Numar persoane, 16
0- 4 ani, Mures, Anul 2004, Numar persoane, 13
0- 4 ani, Mures, Anul 2005, Numar persoane, 1
0- 4 ani, Mures, Anul 2006, Numar persoane, 3
0- 4 ani, Mures, Anul 2007, Numar persoane, 1
0- 4 ani, Mures, Anul 2008, Numar persoane, 1
0- 4 ani, Mures, Anul 2009, Numar persoane, 1
0- 4 ani, Mures, Anul 2010, Numar persoane, 2
0- 4 ani, Mures, Anul 2011, Numar persoane, 35
0- 4 ani, Mures, Anul 2012, Numar persoane, 21
0- 4 ani, Mures, Anul 2013, Numar persoane, 28
0- 4 ani, Mures, Anul 2014, Numar persoane, 9
0- 4 ani, Mures, Anul 2015, Numar persoane, 8
0- 4 ani, Mures, Anul 2016, Numar persoane, 15
0- 4 ani, Mures, Anul 2017, Numar persoane, 16
0- 4 ani, Mures, Anul 2018, Numar persoane, 15
0- 4 ani, Mures, Anul 2019, Numar persoane, 15
0- 4 ani, Mures, Anul 2020, Numar persoane, 13
0- 4 ani, Mures, Anul 2021, Numar persoane, 15
0- 4 ani, Mures, Anul 2022, Numar persoane, 21
0- 4 ani, Sibiu, Anul 1992, Numar persoane, 211
0- 4 ani, Sibiu, Anul 1993, Numar persoane, 85
0- 4 ani, Sibiu, Anul 1994, Numar persoane, 51
0- 4 ani, Sibiu, Anul 1995, Numar persoane, 51
0- 4 ani, Sibiu, Anul 1996, Numar persoane, 61
0- 4 ani, Sibiu, Anul 1997, Numar persoane, 58
0- 4 ani, Sibiu, Anul 1998, Numar persoane, 41
0- 4 ani, Sibiu, Anul 1999, Numar persoane, 41
0- 4 ani, Sibiu, Anul 2000, Numar persoane, 97
0- 4 ani, Sibiu, Anul 2001, Numar persoane, 27
0- 4 ani, Sibiu, Anul 2002, Numar persoane, 13
0- 4 ani, Sibiu, Anul 2003, Numar persoane, 14
0- 4 ani, Sibiu, Anul 2004, Numar persoane, 8
0- 4 ani, Sibiu, Anul 2005, Numar persoane, 2
0- 4 ani, Sibiu, Anul 2006, Numar persoane, 1
0- 4 ani, Sibiu, Anul 2007, Numar persoane, 3
0- 4 ani, Sibiu, Anul 2008, Numar persoane, 2
0- 4 ani, Sibiu, Anul 2009, Numar persoane, 2
0- 4 ani, Sibiu, Anul 2010, Numar persoane, 3
0- 4 ani, Sibiu, Anul 2011, Numar persoane, 29
0- 4 ani, Sibiu, Anul 2012, Numar persoane, 40
0- 4 ani, Sibiu, Anul 2013, Numar persoane, 29
0- 4 ani, Sibiu, Anul 2014, Numar persoane, 19
0- 4 ani, Sibiu, Anul 2015, Numar persoane, 24
0- 4 ani, Sibiu, Anul 2016, Numar persoane, 15
0- 4 ani, Sibiu, Anul 2017, Numar persoane, 18
0- 4 ani, Sibiu, Anul 2018, Numar persoane, 28
0- 4 ani, Sibiu, Anul 2019, Numar persoane, 17
0- 4 ani, Sibiu, Anul 2020, Numar persoane, 16
0- 4 ani, Sibiu, Anul 2021, Numar persoane, 20
0- 4 ani, Sibiu, Anul 2022, Numar persoane, 31
0- 4 ani, Bacau, Anul 1992, Numar persoane, 7
0- 4 ani, Bacau, Anul 1993, Numar persoane, 7
0- 4 ani, Bacau, Anul 1994, Numar persoane, 4
0- 4 ani, Bacau, Anul 1995, Numar persoane, 8
0- 4 ani, Bacau, Anul 1996, Numar persoane, 2
0- 4 ani, Bacau, Anul 1997, Numar persoane, 11
0- 4 ani, Bacau, Anul 1998, Numar persoane, 26
0- 4 ani, Bacau, Anul 1999, Numar persoane, 40
0- 4 ani, Bacau, Anul 2000, Numar persoane, 50
0- 4 ani, Bacau, Anul 2001, Numar persoane, 63
0- 4 ani, Bacau, Anul 2002, Numar persoane, 7
0- 4 ani, Bacau, Anul 2003, Numar persoane, 4
0- 4 ani, Bacau, Anul 2005, Numar persoane, 1
0- 4 ani, Bacau, Anul 2006, Numar persoane, 2
0- 4 ani, Bacau, Anul 2007, Numar persoane, 1
0- 4 ani, Bacau, Anul 2009, Numar persoane, 1
0- 4 ani, Bacau, Anul 2010, Numar persoane, 2
0- 4 ani, Bacau, Anul 2011, Numar persoane, 58
0- 4 ani, Bacau, Anul 2012, Numar persoane, 29
0- 4 ani, Bacau, Anul 2013, Numar persoane, 44
0- 4 ani, Bacau, Anul 2014, Numar persoane, 19
0- 4 ani, Bacau, Anul 2015, Numar persoane, 17
0- 4 ani, Bacau, Anul 2016, Numar persoane, 37
0- 4 ani, Bacau, Anul 2017, Numar persoane, 32
0- 4 ani, Bacau, Anul 2018, Numar persoane, 47
0- 4 ani, Bacau, Anul 2019, Numar persoane, 39
0- 4 ani, Bacau, Anul 2020, Numar persoane, 39
0- 4 ani, Bacau, Anul 2021, Numar persoane, 37
0- 4 ani, Bacau, Anul 2022, Numar persoane, 91
0- 4 ani, Botosani, Anul 1992, Numar persoane, 7
0- 4 ani, Botosani, Anul 1993, Numar persoane, 1
0- 4 ani, Botosani, Anul 1995, Numar persoane, 11
0- 4 ani, Botosani, Anul 1996, Numar persoane, 23
0- 4 ani, Botosani, Anul 1997, Numar persoane, 49
0- 4 ani, Botosani, Anul 1998, Numar persoane, 22
0- 4 ani, Botosani, Anul 1999, Numar persoane, 33
0- 4 ani, Botosani, Anul 2000, Numar persoane, 41
0- 4 ani, Botosani, Anul 2001, Numar persoane, 19
0- 4 ani, Botosani, Anul 2002, Numar persoane, 4
0- 4 ani, Botosani, Anul 2003, Numar persoane, 7
0- 4 ani, Botosani, Anul 2011, Numar persoane, 37
0- 4 ani, Botosani, Anul 2012, Numar persoane, 16
0- 4 ani, Botosani, Anul 2013, Numar persoane, 23
0- 4 ani, Botosani, Anul 2014, Numar persoane, 18
0- 4 ani, Botosani, Anul 2015, Numar persoane, 8
0- 4 ani, Botosani, Anul 2016, Numar persoane, 11
0- 4 ani, Botosani, Anul 2017, Numar persoane, 19
0- 4 ani, Botosani, Anul 2018, Numar persoane, 24
0- 4 ani, Botosani, Anul 2019, Numar persoane, 12
0- 4 ani, Botosani, Anul 2020, Numar persoane, 17
0- 4 ani, Botosani, Anul 2021, Numar persoane, 27
0- 4 ani, Botosani, Anul 2022, Numar persoane, 52
0- 4 ani, Iasi, Anul 1992, Numar persoane, 10
0- 4 ani, Iasi, Anul 1993, Numar persoane, 6
0- 4 ani, Iasi, Anul 1994, Numar persoane, 6
0- 4 ani, Iasi, Anul 1995, Numar persoane, 15
0- 4 ani, Iasi, Anul 1996, Numar persoane, 32
0- 4 ani, Iasi, Anul 1997, Numar persoane, 115
0- 4 ani, Iasi, Anul 1998, Numar persoane, 122
0- 4 ani, Iasi, Anul 1999, Numar persoane, 40
0- 4 ani, Iasi, Anul 2000, Numar persoane, 95
0- 4 ani, Iasi, Anul 2001, Numar persoane, 77
0- 4 ani, Iasi, Anul 2002, Numar persoane, 4
0- 4 ani, Iasi, Anul 2003, Numar persoane, 15
0- 4 ani, Iasi, Anul 2004, Numar persoane, 2
0- 4 ani, Iasi, Anul 2005, Numar persoane, 3
0- 4 ani, Iasi, Anul 2006, Numar persoane, 1
0- 4 ani, Iasi, Anul 2007, Numar persoane, 2
0- 4 ani, Iasi, Anul 2008, Numar persoane, 2
0- 4 ani, Iasi, Anul 2009, Numar persoane, 3
0- 4 ani, Iasi, Anul 2010, Numar persoane, 3
0- 4 ani, Iasi, Anul 2011, Numar persoane, 57
0- 4 ani, Iasi, Anul 2012, Numar persoane, 62
0- 4 ani, Iasi, Anul 2013, Numar persoane, 57
0- 4 ani, Iasi, Anul 2014, Numar persoane, 30
0- 4 ani, Iasi, Anul 2015, Numar persoane, 52
0- 4 ani, Iasi, Anul 2016, Numar persoane, 68
0- 4 ani, Iasi, Anul 2017, Numar persoane, 107
0- 4 ani, Iasi, Anul 2018, Numar persoane, 111
0- 4 ani, Iasi, Anul 2019, Numar persoane, 123
0- 4 ani, Iasi, Anul 2020, Numar persoane, 107
0- 4 ani, Iasi, Anul 2021, Numar persoane, 196
0- 4 ani, Iasi, Anul 2022, Numar persoane, 348
0- 4 ani, Neamt, Anul 1992, Numar persoane, 4
0- 4 ani, Neamt, Anul 1993, Numar persoane, 14
0- 4 ani, Neamt, Anul 1994, Numar persoane, 12
0- 4 ani, Neamt, Anul 1995, Numar persoane, 24
0- 4 ani, Neamt, Anul 1996, Numar persoane, 35
0- 4 ani, Neamt, Anul 1997, Numar persoane, 74
0- 4 ani, Neamt, Anul 1998, Numar persoane, 38
0- 4 ani, Neamt, Anul 1999, Numar persoane, 29
0- 4 ani, Neamt, Anul 2000, Numar persoane, 49
0- 4 ani, Neamt, Anul 2001, Numar persoane, 44
0- 4 ani, Neamt, Anul 2002, Numar persoane, 7
0- 4 ani, Neamt, Anul 2003, Numar persoane, 3
0- 4 ani, Neamt, Anul 2004, Numar persoane, 5
0- 4 ani, Neamt, Anul 2007, Numar persoane, 3
0- 4 ani, Neamt, Anul 2008, Numar persoane, 2
0- 4 ani, Neamt, Anul 2009, Numar persoane, 2
0- 4 ani, Neamt, Anul 2010, Numar persoane, 2
0- 4 ani, Neamt, Anul 2011, Numar persoane, 46
0- 4 ani, Neamt, Anul 2012, Numar persoane, 44
0- 4 ani, Neamt, Anul 2013, Numar persoane, 33
0- 4 ani, Neamt, Anul 2014, Numar persoane, 16
0- 4 ani, Neamt, Anul 2015, Numar persoane, 16
0- 4 ani, Neamt, Anul 2016, Numar persoane, 20
0- 4 ani, Neamt, Anul 2017, Numar persoane, 20
0- 4 ani, Neamt, Anul 2018, Numar persoane, 19
0- 4 ani, Neamt, Anul 2019, Numar persoane, 21
0- 4 ani, Neamt, Anul 2020, Numar persoane, 18
0- 4 ani, Neamt, Anul 2021, Numar persoane, 27
0- 4 ani, Neamt, Anul 2022, Numar persoane, 39
0- 4 ani, Suceava, Anul 1992, Numar persoane, 11
