Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Urban, Maramures, Anul 2007, Numar persoane, 3250
Total, Urban, Maramures, Anul 2008, Numar persoane, 3401
Total, Urban, Maramures, Anul 2009, Numar persoane, 3196
Total, Urban, Maramures, Anul 2010, Numar persoane, 3060
Total, Urban, Maramures, Anul 2011, Numar persoane, 2934
Total, Urban, Maramures, Anul 2012, Numar persoane, 2874
Total, Urban, Maramures, Anul 2013, Numar persoane, 2997
Total, Urban, Maramures, Anul 2014, Numar persoane, 2715
Total, Urban, Maramures, Anul 2015, Numar persoane, 2961
Total, Urban, Maramures, Anul 2016, Numar persoane, 2946
Total, Urban, Maramures, Anul 2017, Numar persoane, 2991
Total, Urban, Maramures, Anul 2018, Numar persoane, 3047
Total, Urban, Maramures, Anul 2019, Numar persoane, 2900
Total, Urban, Maramures, Anul 2020, Numar persoane, 2707
Total, Urban, Maramures, Anul 2021, Numar persoane, 2623
Total, Urban, Maramures, Anul 2022, Numar persoane, 2211
Total, Urban, Satu Mare, Anul 1990, Numar persoane, 2515
Total, Urban, Satu Mare, Anul 1991, Numar persoane, 2256
Total, Urban, Satu Mare, Anul 1992, Numar persoane, 1887
Total, Urban, Satu Mare, Anul 1993, Numar persoane, 1806
Total, Urban, Satu Mare, Anul 1994, Numar persoane, 1685
Total, Urban, Satu Mare, Anul 1995, Numar persoane, 1548
Total, Urban, Satu Mare, Anul 1996, Numar persoane, 1580
Total, Urban, Satu Mare, Anul 1997, Numar persoane, 1568
Total, Urban, Satu Mare, Anul 1998, Numar persoane, 1642
Total, Urban, Satu Mare, Anul 1999, Numar persoane, 1463
Total, Urban, Satu Mare, Anul 2000, Numar persoane, 1624
Total, Urban, Satu Mare, Anul 2001, Numar persoane, 1486
Total, Urban, Satu Mare, Anul 2002, Numar persoane, 1440
Total, Urban, Satu Mare, Anul 2003, Numar persoane, 1484
Total, Urban, Satu Mare, Anul 2004, Numar persoane, 1641
Total, Urban, Satu Mare, Anul 2005, Numar persoane, 1750
Total, Urban, Satu Mare, Anul 2006, Numar persoane, 1687
Total, Urban, Satu Mare, Anul 2007, Numar persoane, 1826
Total, Urban, Satu Mare, Anul 2008, Numar persoane, 1942
Total, Urban, Satu Mare, Anul 2009, Numar persoane, 1766
Total, Urban, Satu Mare, Anul 2010, Numar persoane, 1636
Total, Urban, Satu Mare, Anul 2011, Numar persoane, 1525
Total, Urban, Satu Mare, Anul 2012, Numar persoane, 1514
Total, Urban, Satu Mare, Anul 2013, Numar persoane, 1656
Total, Urban, Satu Mare, Anul 2014, Numar persoane, 1625
Total, Urban, Satu Mare, Anul 2015, Numar persoane, 1548
Total, Urban, Satu Mare, Anul 2016, Numar persoane, 1566
Total, Urban, Satu Mare, Anul 2017, Numar persoane, 1668
Total, Urban, Satu Mare, Anul 2018, Numar persoane, 1503
Total, Urban, Satu Mare, Anul 2019, Numar persoane, 1546
Total, Urban, Satu Mare, Anul 2020, Numar persoane, 1400
Total, Urban, Satu Mare, Anul 2021, Numar persoane, 1254
Total, Urban, Satu Mare, Anul 2022, Numar persoane, 1083
Total, Urban, Salaj, Anul 1990, Numar persoane, 1947
Total, Urban, Salaj, Anul 1991, Numar persoane, 1737
Total, Urban, Salaj, Anul 1992, Numar persoane, 1510
Total, Urban, Salaj, Anul 1993, Numar persoane, 1411
Total, Urban, Salaj, Anul 1994, Numar persoane, 1292
Total, Urban, Salaj, Anul 1995, Numar persoane, 1261
Total, Urban, Salaj, Anul 1996, Numar persoane, 1164
Total, Urban, Salaj, Anul 1997, Numar persoane, 1170
Total, Urban, Salaj, Anul 1998, Numar persoane, 1154
Total, Urban, Salaj, Anul 1999, Numar persoane, 1152
Total, Urban, Salaj, Anul 2000, Numar persoane, 1074
Total, Urban, Salaj, Anul 2001, Numar persoane, 1012
Total, Urban, Salaj, Anul 2002, Numar persoane, 1037
Total, Urban, Salaj, Anul 2003, Numar persoane, 947
Total, Urban, Salaj, Anul 2004, Numar persoane, 1040
Total, Urban, Salaj, Anul 2005, Numar persoane, 1122
Total, Urban, Salaj, Anul 2006, Numar persoane, 1092
Total, Urban, Salaj, Anul 2007, Numar persoane, 1024
Total, Urban, Salaj, Anul 2008, Numar persoane, 1120
Total, Urban, Salaj, Anul 2009, Numar persoane, 1046
Total, Urban, Salaj, Anul 2010, Numar persoane, 1055
Total, Urban, Salaj, Anul 2011, Numar persoane, 1012
Total, Urban, Salaj, Anul 2012, Numar persoane, 1101
Total, Urban, Salaj, Anul 2013, Numar persoane, 1134
Total, Urban, Salaj, Anul 2014, Numar persoane, 1089
Total, Urban, Salaj, Anul 2015, Numar persoane, 1106
Total, Urban, Salaj, Anul 2016, Numar persoane, 1150
Total, Urban, Salaj, Anul 2017, Numar persoane, 1123
Total, Urban, Salaj, Anul 2018, Numar persoane, 1133
Total, Urban, Salaj, Anul 2019, Numar persoane, 1126
Total, Urban, Salaj, Anul 2020, Numar persoane, 1066
Total, Urban, Salaj, Anul 2021, Numar persoane, 967
Total, Urban, Salaj, Anul 2022, Numar persoane, 872
Total, Urban, Alba, Anul 1990, Numar persoane, 3307
Total, Urban, Alba, Anul 1991, Numar persoane, 2879
Total, Urban, Alba, Anul 1992, Numar persoane, 2593
Total, Urban, Alba, Anul 1993, Numar persoane, 2318
Total, Urban, Alba, Anul 1994, Numar persoane, 2381
Total, Urban, Alba, Anul 1995, Numar persoane, 2138
Total, Urban, Alba, Anul 1996, Numar persoane, 2183
Total, Urban, Alba, Anul 1997, Numar persoane, 2296
Total, Urban, Alba, Anul 1998, Numar persoane, 2205
Total, Urban, Alba, Anul 1999, Numar persoane, 2154
Total, Urban, Alba, Anul 2000, Numar persoane, 2097
Total, Urban, Alba, Anul 2001, Numar persoane, 1899
Total, Urban, Alba, Anul 2002, Numar persoane, 1840
Total, Urban, Alba, Anul 2003, Numar persoane, 1963
Total, Urban, Alba, Anul 2004, Numar persoane, 2076
Total, Urban, Alba, Anul 2005, Numar persoane, 2174
Total, Urban, Alba, Anul 2006, Numar persoane, 2211
Total, Urban, Alba, Anul 2007, Numar persoane, 2086
Total, Urban, Alba, Anul 2008, Numar persoane, 2106
Total, Urban, Alba, Anul 2009, Numar persoane, 2272
Total, Urban, Alba, Anul 2010, Numar persoane, 2019
Total, Urban, Alba, Anul 2011, Numar persoane, 1950
Total, Urban, Alba, Anul 2012, Numar persoane, 1942
Total, Urban, Alba, Anul 2013, Numar persoane, 2034
Total, Urban, Alba, Anul 2014, Numar persoane, 1938
Total, Urban, Alba, Anul 2015, Numar persoane, 1935
Total, Urban, Alba, Anul 2016, Numar persoane, 1849
Total, Urban, Alba, Anul 2017, Numar persoane, 1974
Total, Urban, Alba, Anul 2018, Numar persoane, 1910
Total, Urban, Alba, Anul 2019, Numar persoane, 1919
Total, Urban, Alba, Anul 2020, Numar persoane, 1777
Total, Urban, Alba, Anul 2021, Numar persoane, 1645
Total, Urban, Alba, Anul 2022, Numar persoane, 1564
Total, Urban, Brasov, Anul 1990, Numar persoane, 5679
Total, Urban, Brasov, Anul 1991, Numar persoane, 4834
Total, Urban, Brasov, Anul 1992, Numar persoane, 4422
Total, Urban, Brasov, Anul 1993, Numar persoane, 4055
Total, Urban, Brasov, Anul 1994, Numar persoane, 3702
Total, Urban, Brasov, Anul 1995, Numar persoane, 3602
Total, Urban, Brasov, Anul 1996, Numar persoane, 3588
Total, Urban, Brasov, Anul 1997, Numar persoane, 3752
Total, Urban, Brasov, Anul 1998, Numar persoane, 3682
Total, Urban, Brasov, Anul 1999, Numar persoane, 3674
Total, Urban, Brasov, Anul 2000, Numar persoane, 3697
Total, Urban, Brasov, Anul 2001, Numar persoane, 3593
Total, Urban, Brasov, Anul 2002, Numar persoane, 3538
Total, Urban, Brasov, Anul 2003, Numar persoane, 3745
Total, Urban, Brasov, Anul 2004, Numar persoane, 3775
Total, Urban, Brasov, Anul 2005, Numar persoane, 4028
Total, Urban, Brasov, Anul 2006, Numar persoane, 4117
Total, Urban, Brasov, Anul 2007, Numar persoane, 4033
Total, Urban, Brasov, Anul 2008, Numar persoane, 4525
Total, Urban, Brasov, Anul 2009, Numar persoane, 4458
Total, Urban, Brasov, Anul 2010, Numar persoane, 4385
Total, Urban, Brasov, Anul 2011, Numar persoane, 4081
Total, Urban, Brasov, Anul 2012, Numar persoane, 4003
Total, Urban, Brasov, Anul 2013, Numar persoane, 4471
Total, Urban, Brasov, Anul 2014, Numar persoane, 4181
Total, Urban, Brasov, Anul 2015, Numar persoane, 4231
Total, Urban, Brasov, Anul 2016, Numar persoane, 4322
Total, Urban, Brasov, Anul 2017, Numar persoane, 4391
Total, Urban, Brasov, Anul 2018, Numar persoane, 4327
Total, Urban, Brasov, Anul 2019, Numar persoane, 4197
Total, Urban, Brasov, Anul 2020, Numar persoane, 3885
Total, Urban, Brasov, Anul 2021, Numar persoane, 3740
Total, Urban, Brasov, Anul 2022, Numar persoane, 3238
Total, Urban, Covasna, Anul 1990, Numar persoane, 1764
Total, Urban, Covasna, Anul 1991, Numar persoane, 1377
Total, Urban, Covasna, Anul 1992, Numar persoane, 1280
Total, Urban, Covasna, Anul 1993, Numar persoane, 1172
Total, Urban, Covasna, Anul 1994, Numar persoane, 1125
Total, Urban, Covasna, Anul 1995, Numar persoane, 1109
Total, Urban, Covasna, Anul 1996, Numar persoane, 1115
Total, Urban, Covasna, Anul 1997, Numar persoane, 1202
Total, Urban, Covasna, Anul 1998, Numar persoane, 1125
Total, Urban, Covasna, Anul 1999, Numar persoane, 1175
Total, Urban, Covasna, Anul 2000, Numar persoane, 1214
Total, Urban, Covasna, Anul 2001, Numar persoane, 1106
Total, Urban, Covasna, Anul 2002, Numar persoane, 1076
Total, Urban, Covasna, Anul 2003, Numar persoane, 1067
Total, Urban, Covasna, Anul 2004, Numar persoane, 1213
Total, Urban, Covasna, Anul 2005, Numar persoane, 1308
Total, Urban, Covasna, Anul 2006, Numar persoane, 1251
Total, Urban, Covasna, Anul 2007, Numar persoane, 1127
Total, Urban, Covasna, Anul 2008, Numar persoane, 1189
Total, Urban, Covasna, Anul 2009, Numar persoane, 1185
Total, Urban, Covasna, Anul 2010, Numar persoane, 1116
Total, Urban, Covasna, Anul 2011, Numar persoane, 952
Total, Urban, Covasna, Anul 2012, Numar persoane, 1013
Total, Urban, Covasna, Anul 2013, Numar persoane, 1118
Total, Urban, Covasna, Anul 2014, Numar persoane, 979
Total, Urban, Covasna, Anul 2015, Numar persoane, 961
Total, Urban, Covasna, Anul 2016, Numar persoane, 1000
Total, Urban, Covasna, Anul 2017, Numar persoane, 975
Total, Urban, Covasna, Anul 2018, Numar persoane, 991
Total, Urban, Covasna, Anul 2019, Numar persoane, 950
Total, Urban, Covasna, Anul 2020, Numar persoane, 890
Total, Urban, Covasna, Anul 2021, Numar persoane, 871
Total, Urban, Covasna, Anul 2022, Numar persoane, 727
Total, Urban, Harghita, Anul 1990, Numar persoane, 2197
Total, Urban, Harghita, Anul 1991, Numar persoane, 1875
Total, Urban, Harghita, Anul 1992, Numar persoane, 1750
Total, Urban, Harghita, Anul 1993, Numar persoane, 1597
Total, Urban, Harghita, Anul 1994, Numar persoane, 1567
Total, Urban, Harghita, Anul 1995, Numar persoane, 1469
Total, Urban, Harghita, Anul 1996, Numar persoane, 1430
Total, Urban, Harghita, Anul 1997, Numar persoane, 1602
Total, Urban, Harghita, Anul 1998, Numar persoane, 1555
Total, Urban, Harghita, Anul 1999, Numar persoane, 1548
Total, Urban, Harghita, Anul 2000, Numar persoane, 1505
Total, Urban, Harghita, Anul 2001, Numar persoane, 1536
Total, Urban, Harghita, Anul 2002, Numar persoane, 1386
Total, Urban, Harghita, Anul 2003, Numar persoane, 1416
Total, Urban, Harghita, Anul 2004, Numar persoane, 1567
Total, Urban, Harghita, Anul 2005, Numar persoane, 1655
Total, Urban, Harghita, Anul 2006, Numar persoane, 1636
Total, Urban, Harghita, Anul 2007, Numar persoane, 1562
Total, Urban, Harghita, Anul 2008, Numar persoane, 1581
Total, Urban, Harghita, Anul 2009, Numar persoane, 1520
Total, Urban, Harghita, Anul 2010, Numar persoane, 1543
Total, Urban, Harghita, Anul 2011, Numar persoane, 1292
Total, Urban, Harghita, Anul 2012, Numar persoane, 1360
Total, Urban, Harghita, Anul 2013, Numar persoane, 1391
Total, Urban, Harghita, Anul 2014, Numar persoane, 1346
Total, Urban, Harghita, Anul 2015, Numar persoane, 1301
Total, Urban, Harghita, Anul 2016, Numar persoane, 1295
Total, Urban, Harghita, Anul 2017, Numar persoane, 1302
Total, Urban, Harghita, Anul 2018, Numar persoane, 1227
Total, Urban, Harghita, Anul 2019, Numar persoane, 1265
Total, Urban, Harghita, Anul 2020, Numar persoane, 1123
Total, Urban, Harghita, Anul 2021, Numar persoane, 1108
Total, Urban, Harghita, Anul 2022, Numar persoane, 1019
Total, Urban, Mures, Anul 1990, Numar persoane, 3976
Total, Urban, Mures, Anul 1991, Numar persoane, 3395
Total, Urban, Mures, Anul 1992, Numar persoane, 3238
Total, Urban, Mures, Anul 1993, Numar persoane, 3060
Total, Urban, Mures, Anul 1994, Numar persoane, 3001
Total, Urban, Mures, Anul 1995, Numar persoane, 2697
Total, Urban, Mures, Anul 1996, Numar persoane, 2799
Total, Urban, Mures, Anul 1997, Numar persoane, 2912
Total, Urban, Mures, Anul 1998, Numar persoane, 2963
Total, Urban, Mures, Anul 1999, Numar persoane, 2861
Total, Urban, Mures, Anul 2000, Numar persoane, 2825
Total, Urban, Mures, Anul 2001, Numar persoane, 2679
Total, Urban, Mures, Anul 2002, Numar persoane, 2623
Total, Urban, Mures, Anul 2003, Numar persoane, 2704
Total, Urban, Mures, Anul 2004, Numar persoane, 3120
Total, Urban, Mures, Anul 2005, Numar persoane, 3283
Total, Urban, Mures, Anul 2006, Numar persoane, 3301
Total, Urban, Mures, Anul 2007, Numar persoane, 3092
Total, Urban, Mures, Anul 2008, Numar persoane, 3231
Total, Urban, Mures, Anul 2009, Numar persoane, 3127
Total, Urban, Mures, Anul 2010, Numar persoane, 2997
Total, Urban, Mures, Anul 2011, Numar persoane, 2797
Total, Urban, Mures, Anul 2012, Numar persoane, 2691
Total, Urban, Mures, Anul 2013, Numar persoane, 2871
Total, Urban, Mures, Anul 2014, Numar persoane, 2681
Total, Urban, Mures, Anul 2015, Numar persoane, 2664
Total, Urban, Mures, Anul 2016, Numar persoane, 2761
Total, Urban, Mures, Anul 2017, Numar persoane, 2956
Total, Urban, Mures, Anul 2018, Numar persoane, 2857
Total, Urban, Mures, Anul 2019, Numar persoane, 2683
Total, Urban, Mures, Anul 2020, Numar persoane, 2655
Total, Urban, Mures, Anul 2021, Numar persoane, 2456
Total, Urban, Mures, Anul 2022, Numar persoane, 2230
Total, Urban, Sibiu, Anul 1990, Numar persoane, 3705
Total, Urban, Sibiu, Anul 1991, Numar persoane, 3322
Total, Urban, Sibiu, Anul 1992, Numar persoane, 3057
Total, Urban, Sibiu, Anul 1993, Numar persoane, 2832
Total, Urban, Sibiu, Anul 1994, Numar persoane, 2731
Total, Urban, Sibiu, Anul 1995, Numar persoane, 2605
Total, Urban, Sibiu, Anul 1996, Numar persoane, 2559
Total, Urban, Sibiu, Anul 1997, Numar persoane, 2689
Total, Urban, Sibiu, Anul 1998, Numar persoane, 2766
Total, Urban, Sibiu, Anul 1999, Numar persoane, 2787
Total, Urban, Sibiu, Anul 2000, Numar persoane, 2681
Total, Urban, Sibiu, Anul 2001, Numar persoane, 2516
Total, Urban, Sibiu, Anul 2002, Numar persoane, 2483
Total, Urban, Sibiu, Anul 2003, Numar persoane, 2459
Total, Urban, Sibiu, Anul 2004, Numar persoane, 2677
Total, Urban, Sibiu, Anul 2005, Numar persoane, 2813
Total, Urban, Sibiu, Anul 2006, Numar persoane, 2791
Total, Urban, Sibiu, Anul 2007, Numar persoane, 2626
Total, Urban, Sibiu, Anul 2008, Numar persoane, 2963
Total, Urban, Sibiu, Anul 2009, Numar persoane, 3042
Total, Urban, Sibiu, Anul 2010, Numar persoane, 2947
Total, Urban, Sibiu, Anul 2011, Numar persoane, 2663
Total, Urban, Sibiu, Anul 2012, Numar persoane, 2698
Total, Urban, Sibiu, Anul 2013, Numar persoane, 2889
Total, Urban, Sibiu, Anul 2014, Numar persoane, 2833
Total, Urban, Sibiu, Anul 2015, Numar persoane, 2846
Total, Urban, Sibiu, Anul 2016, Numar persoane, 2858
Total, Urban, Sibiu, Anul 2017, Numar persoane, 2951
Total, Urban, Sibiu, Anul 2018, Numar persoane, 2793
Total, Urban, Sibiu, Anul 2019, Numar persoane, 2712
Total, Urban, Sibiu, Anul 2020, Numar persoane, 2491
Total, Urban, Sibiu, Anul 2021, Numar persoane, 2310
Total, Urban, Sibiu, Anul 2022, Numar persoane, 2102
Total, Urban, Bacau, Anul 1990, Numar persoane, 5465
Total, Urban, Bacau, Anul 1991, Numar persoane, 4791
Total, Urban, Bacau, Anul 1992, Numar persoane, 4277
Total, Urban, Bacau, Anul 1993, Numar persoane, 3830
Total, Urban, Bacau, Anul 1994, Numar persoane, 3854
Total, Urban, Bacau, Anul 1995, Numar persoane, 3638
Total, Urban, Bacau, Anul 1996, Numar persoane, 3533
Total, Urban, Bacau, Anul 1997, Numar persoane, 3527
Total, Urban, Bacau, Anul 1998, Numar persoane, 3663
Total, Urban, Bacau, Anul 1999, Numar persoane, 3536
Total, Urban, Bacau, Anul 2000, Numar persoane, 3413
Total, Urban, Bacau, Anul 2001, Numar persoane, 3188
Total, Urban, Bacau, Anul 2002, Numar persoane, 3081
Total, Urban, Bacau, Anul 2003, Numar persoane, 2970
Total, Urban, Bacau, Anul 2004, Numar persoane, 3129
Total, Urban, Bacau, Anul 2005, Numar persoane, 3399
Total, Urban, Bacau, Anul 2006, Numar persoane, 3612
Total, Urban, Bacau, Anul 2007, Numar persoane, 3584
Total, Urban, Bacau, Anul 2008, Numar persoane, 3531
Total, Urban, Bacau, Anul 2009, Numar persoane, 3291
Total, Urban, Bacau, Anul 2010, Numar persoane, 3284
Total, Urban, Bacau, Anul 2011, Numar persoane, 2969
Total, Urban, Bacau, Anul 2012, Numar persoane, 2965
Total, Urban, Bacau, Anul 2013, Numar persoane, 3341
Total, Urban, Bacau, Anul 2014, Numar persoane, 3042
Total, Urban, Bacau, Anul 2015, Numar persoane, 3247
Total, Urban, Bacau, Anul 2016, Numar persoane, 3167
Total, Urban, Bacau, Anul 2017, Numar persoane, 3193
Total, Urban, Bacau, Anul 2018, Numar persoane, 3117
Total, Urban, Bacau, Anul 2019, Numar persoane, 3193
Total, Urban, Bacau, Anul 2020, Numar persoane, 2864
Total, Urban, Bacau, Anul 2021, Numar persoane, 2786
Total, Urban, Bacau, Anul 2022, Numar persoane, 2326
Total, Urban, Botosani, Anul 1990, Numar persoane, 3248
Total, Urban, Botosani, Anul 1991, Numar persoane, 2736
Total, Urban, Botosani, Anul 1992, Numar persoane, 2485
Total, Urban, Botosani, Anul 1993, Numar persoane, 2311
Total, Urban, Botosani, Anul 1994, Numar persoane, 2258
Total, Urban, Botosani, Anul 1995, Numar persoane, 2105
Total, Urban, Botosani, Anul 1996, Numar persoane, 1931
Total, Urban, Botosani, Anul 1997, Numar persoane, 1977
Total, Urban, Botosani, Anul 1998, Numar persoane, 2021
Total, Urban, Botosani, Anul 1999, Numar persoane, 1945
Total, Urban, Botosani, Anul 2000, Numar persoane, 1914
Total, Urban, Botosani, Anul 2001, Numar persoane, 1786
Total, Urban, Botosani, Anul 2002, Numar persoane, 1773
Total, Urban, Botosani, Anul 2003, Numar persoane, 1764
Total, Urban, Botosani, Anul 2004, Numar persoane, 2016
Total, Urban, Botosani, Anul 2005, Numar persoane, 2063
Total, Urban, Botosani, Anul 2006, Numar persoane, 1968
Total, Urban, Botosani, Anul 2007, Numar persoane, 1843
Total, Urban, Botosani, Anul 2008, Numar persoane, 2048
Total, Urban, Botosani, Anul 2009, Numar persoane, 2038
Total, Urban, Botosani, Anul 2010, Numar persoane, 1788
Total, Urban, Botosani, Anul 2011, Numar persoane, 1629
Total, Urban, Botosani, Anul 2012, Numar persoane, 1807
Total, Urban, Botosani, Anul 2013, Numar persoane, 1950
Total, Urban, Botosani, Anul 2014, Numar persoane, 1706
