Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Masculin, Bistrita-Nasaud, Anul 2001, Procente, 11.9
Masculin, Bistrita-Nasaud, Anul 2002, Procente, 10.4
Masculin, Bistrita-Nasaud, Anul 2003, Procente, 7.8
Masculin, Bistrita-Nasaud, Anul 2004, Procente, 5.6
Masculin, Bistrita-Nasaud, Anul 2005, Procente, 4.5
Masculin, Bistrita-Nasaud, Anul 2006, Procente, 3.4
Masculin, Bistrita-Nasaud, Anul 2007, Procente, 2.3
Masculin, Bistrita-Nasaud, Anul 2008, Procente, 2.5
Masculin, Bistrita-Nasaud, Anul 2009, Procente, 9.2
Masculin, Bistrita-Nasaud, Anul 2010, Procente, 6.9
Masculin, Bistrita-Nasaud, Anul 2011, Procente, 5
Masculin, Bistrita-Nasaud, Anul 2012, Procente, 5
Masculin, Bistrita-Nasaud, Anul 2013, Procente, 5
Masculin, Bistrita-Nasaud, Anul 2014, Procente, 4.6
Masculin, Bistrita-Nasaud, Anul 2015, Procente, 3.5
Masculin, Bistrita-Nasaud, Anul 2016, Procente, 3.8
Masculin, Bistrita-Nasaud, Anul 2017, Procente, 2.9
Masculin, Bistrita-Nasaud, Anul 2018, Procente, 2.7
Masculin, Bistrita-Nasaud, Anul 2019, Procente, 2.3
Masculin, Bistrita-Nasaud, Anul 2020, Procente, 2.8
Masculin, Bistrita-Nasaud, Anul 2021, Procente, 3.1
Masculin, Cluj, Anul 1991, Procente, 1.5
Masculin, Cluj, Anul 1992, Procente, 5.8
Masculin, Cluj, Anul 1993, Procente, 5.8
Masculin, Cluj, Anul 1994, Procente, 7.2
Masculin, Cluj, Anul 1995, Procente, 6.7
Masculin, Cluj, Anul 1996, Procente, 6.3
Masculin, Cluj, Anul 1997, Procente, 7.6
Masculin, Cluj, Anul 1998, Procente, 8.8
Masculin, Cluj, Anul 1999, Procente, 12
Masculin, Cluj, Anul 2000, Procente, 11.3
Masculin, Cluj, Anul 2001, Procente, 9.9
Masculin, Cluj, Anul 2002, Procente, 10.1
Masculin, Cluj, Anul 2003, Procente, 7.4
Masculin, Cluj, Anul 2004, Procente, 5.2
Masculin, Cluj, Anul 2005, Procente, 4.4
Masculin, Cluj, Anul 2006, Procente, 3.2
Masculin, Cluj, Anul 2007, Procente, 2.7
Masculin, Cluj, Anul 2008, Procente, 2.6
Masculin, Cluj, Anul 2009, Procente, 6.1
Masculin, Cluj, Anul 2010, Procente, 5
Masculin, Cluj, Anul 2011, Procente, 3.6
Masculin, Cluj, Anul 2012, Procente, 3.7
Masculin, Cluj, Anul 2013, Procente, 3.5
Masculin, Cluj, Anul 2014, Procente, 2.7
Masculin, Cluj, Anul 2015, Procente, 2.1
Masculin, Cluj, Anul 2016, Procente, 2
Masculin, Cluj, Anul 2017, Procente, 1.8
Masculin, Cluj, Anul 2018, Procente, 1.1
Masculin, Cluj, Anul 2019, Procente, 1
Masculin, Cluj, Anul 2020, Procente, 1.3
Masculin, Cluj, Anul 2021, Procente, 1.1
Masculin, Maramures, Anul 1991, Procente, 3.1
Masculin, Maramures, Anul 1992, Procente, 5.6
Masculin, Maramures, Anul 1993, Procente, 6.1
Masculin, Maramures, Anul 1994, Procente, 7.5
Masculin, Maramures, Anul 1995, Procente, 5.3
Masculin, Maramures, Anul 1996, Procente, 2.5
Masculin, Maramures, Anul 1997, Procente, 11.9
Masculin, Maramures, Anul 1998, Procente, 9.6
Masculin, Maramures, Anul 1999, Procente, 9.6
Masculin, Maramures, Anul 2000, Procente, 9.9
Masculin, Maramures, Anul 2001, Procente, 8.1
Masculin, Maramures, Anul 2002, Procente, 8.2
Masculin, Maramures, Anul 2003, Procente, 5.9
Masculin, Maramures, Anul 2004, Procente, 5.3
Masculin, Maramures, Anul 2005, Procente, 4.9
Masculin, Maramures, Anul 2006, Procente, 4.7
Masculin, Maramures, Anul 2007, Procente, 3.9
Masculin, Maramures, Anul 2008, Procente, 3.8
Masculin, Maramures, Anul 2009, Procente, 7.2
Masculin, Maramures, Anul 2010, Procente, 6.3
Masculin, Maramures, Anul 2011, Procente, 4.3
Masculin, Maramures, Anul 2012, Procente, 4.3
Masculin, Maramures, Anul 2013, Procente, 4
Masculin, Maramures, Anul 2014, Procente, 3.6
Masculin, Maramures, Anul 2015, Procente, 3.6
Masculin, Maramures, Anul 2016, Procente, 3.3
Masculin, Maramures, Anul 2017, Procente, 3.2
Masculin, Maramures, Anul 2018, Procente, 3
Masculin, Maramures, Anul 2019, Procente, 2.4
Masculin, Maramures, Anul 2020, Procente, 2.2
Masculin, Maramures, Anul 2021, Procente, 1.8
Masculin, Satu Mare, Anul 1991, Procente, 2.3
Masculin, Satu Mare, Anul 1992, Procente, 7.5
Masculin, Satu Mare, Anul 1993, Procente, 7.7
Masculin, Satu Mare, Anul 1994, Procente, 7
Masculin, Satu Mare, Anul 1995, Procente, 5.6
Masculin, Satu Mare, Anul 1996, Procente, 4.1
Masculin, Satu Mare, Anul 1997, Procente, 5.4
Masculin, Satu Mare, Anul 1998, Procente, 6.1
Masculin, Satu Mare, Anul 1999, Procente, 7.7
Masculin, Satu Mare, Anul 2000, Procente, 5.6
Masculin, Satu Mare, Anul 2001, Procente, 3.9
Masculin, Satu Mare, Anul 2002, Procente, 4.5
Masculin, Satu Mare, Anul 2003, Procente, 3.5
Masculin, Satu Mare, Anul 2004, Procente, 2.6
Masculin, Satu Mare, Anul 2005, Procente, 4
Masculin, Satu Mare, Anul 2006, Procente, 4.1
Masculin, Satu Mare, Anul 2007, Procente, 3.1
Masculin, Satu Mare, Anul 2008, Procente, 3.3
Masculin, Satu Mare, Anul 2009, Procente, 7.3
Masculin, Satu Mare, Anul 2010, Procente, 7.2
Masculin, Satu Mare, Anul 2011, Procente, 5.3
Masculin, Satu Mare, Anul 2012, Procente, 5.7
Masculin, Satu Mare, Anul 2013, Procente, 5.3
Masculin, Satu Mare, Anul 2014, Procente, 4.9
Masculin, Satu Mare, Anul 2015, Procente, 4.4
Masculin, Satu Mare, Anul 2016, Procente, 4.6
Masculin, Satu Mare, Anul 2017, Procente, 3.5
Masculin, Satu Mare, Anul 2018, Procente, 2.7
Masculin, Satu Mare, Anul 2019, Procente, 2.6
Masculin, Satu Mare, Anul 2020, Procente, 3.7
Masculin, Satu Mare, Anul 2021, Procente, 3.6
Masculin, Salaj, Anul 1991, Procente, 3.1
Masculin, Salaj, Anul 1992, Procente, 8.1
Masculin, Salaj, Anul 1993, Procente, 11
Masculin, Salaj, Anul 1994, Procente, 10.6
Masculin, Salaj, Anul 1995, Procente, 9.1
Masculin, Salaj, Anul 1996, Procente, 6.6
Masculin, Salaj, Anul 1997, Procente, 9.5
Masculin, Salaj, Anul 1998, Procente, 13.1
Masculin, Salaj, Anul 1999, Procente, 13
Masculin, Salaj, Anul 2000, Procente, 10.5
Masculin, Salaj, Anul 2001, Procente, 8.4
Masculin, Salaj, Anul 2002, Procente, 8.8
Masculin, Salaj, Anul 2003, Procente, 8.4
Masculin, Salaj, Anul 2004, Procente, 6.9
Masculin, Salaj, Anul 2005, Procente, 7
Masculin, Salaj, Anul 2006, Procente, 7.6
Masculin, Salaj, Anul 2007, Procente, 4.6
Masculin, Salaj, Anul 2008, Procente, 5.9
Masculin, Salaj, Anul 2009, Procente, 11.3
Masculin, Salaj, Anul 2010, Procente, 9.3
Masculin, Salaj, Anul 2011, Procente, 7
Masculin, Salaj, Anul 2012, Procente, 7
Masculin, Salaj, Anul 2013, Procente, 7
Masculin, Salaj, Anul 2014, Procente, 6.6
Masculin, Salaj, Anul 2015, Procente, 6
Masculin, Salaj, Anul 2016, Procente, 6.1
Masculin, Salaj, Anul 2017, Procente, 5.1
Masculin, Salaj, Anul 2018, Procente, 4.8
Masculin, Salaj, Anul 2019, Procente, 4.3
Masculin, Salaj, Anul 2020, Procente, 4.9
Masculin, Salaj, Anul 2021, Procente, 4.8
Masculin, Alba, Anul 1991, Procente, .8
Masculin, Alba, Anul 1992, Procente, 4
Masculin, Alba, Anul 1993, Procente, 6.6
Masculin, Alba, Anul 1994, Procente, 6.8
Masculin, Alba, Anul 1995, Procente, 4.8
Masculin, Alba, Anul 1996, Procente, 3.2
Masculin, Alba, Anul 1997, Procente, 7.5
Masculin, Alba, Anul 1998, Procente, 11.6
Masculin, Alba, Anul 1999, Procente, 9.8
Masculin, Alba, Anul 2000, Procente, 10.7
Masculin, Alba, Anul 2001, Procente, 9.2
Masculin, Alba, Anul 2002, Procente, 9.1
Masculin, Alba, Anul 2003, Procente, 6.8
Masculin, Alba, Anul 2004, Procente, 10.8
Masculin, Alba, Anul 2005, Procente, 8.8
Masculin, Alba, Anul 2006, Procente, 7.3
Masculin, Alba, Anul 2007, Procente, 5.6
Masculin, Alba, Anul 2008, Procente, 7.1
Masculin, Alba, Anul 2009, Procente, 13.8
Masculin, Alba, Anul 2010, Procente, 10.9
Masculin, Alba, Anul 2011, Procente, 8.4
Masculin, Alba, Anul 2012, Procente, 8.8
Masculin, Alba, Anul 2013, Procente, 10.1
Masculin, Alba, Anul 2014, Procente, 7.7
Masculin, Alba, Anul 2015, Procente, 5.8
Masculin, Alba, Anul 2016, Procente, 5.3
Masculin, Alba, Anul 2017, Procente, 3.8
Masculin, Alba, Anul 2018, Procente, 3.4
Masculin, Alba, Anul 2019, Procente, 3.1
Masculin, Alba, Anul 2020, Procente, 3.6
Masculin, Alba, Anul 2021, Procente, 3.3
Masculin, Brasov, Anul 1991, Procente, .7
Masculin, Brasov, Anul 1992, Procente, 3
Masculin, Brasov, Anul 1993, Procente, 4.4
Masculin, Brasov, Anul 1994, Procente, 5.5
Masculin, Brasov, Anul 1995, Procente, 5.5
Masculin, Brasov, Anul 1996, Procente, 3.7
Masculin, Brasov, Anul 1997, Procente, 6.8
Masculin, Brasov, Anul 1998, Procente, 7.1
Masculin, Brasov, Anul 1999, Procente, 9.4
Masculin, Brasov, Anul 2000, Procente, 9.7
Masculin, Brasov, Anul 2001, Procente, 7.5
Masculin, Brasov, Anul 2002, Procente, 10.5
Masculin, Brasov, Anul 2003, Procente, 10.1
Masculin, Brasov, Anul 2004, Procente, 10.9
Masculin, Brasov, Anul 2005, Procente, 8.6
Masculin, Brasov, Anul 2006, Procente, 6.4
Masculin, Brasov, Anul 2007, Procente, 5.1
Masculin, Brasov, Anul 2008, Procente, 3.9
Masculin, Brasov, Anul 2009, Procente, 8.5
Masculin, Brasov, Anul 2010, Procente, 7.3
Masculin, Brasov, Anul 2011, Procente, 5.1
Masculin, Brasov, Anul 2012, Procente, 4.8
Masculin, Brasov, Anul 2013, Procente, 4.7
Masculin, Brasov, Anul 2014, Procente, 4.5
Masculin, Brasov, Anul 2015, Procente, 3.8
Masculin, Brasov, Anul 2016, Procente, 3.6
Masculin, Brasov, Anul 2017, Procente, 2.9
Masculin, Brasov, Anul 2018, Procente, 2.1
Masculin, Brasov, Anul 2019, Procente, 1.9
Masculin, Brasov, Anul 2020, Procente, 2.4
Masculin, Brasov, Anul 2021, Procente, 1.9
Masculin, Covasna, Anul 1991, Procente, 1.6
Masculin, Covasna, Anul 1992, Procente, 5.1
Masculin, Covasna, Anul 1993, Procente, 7.1
Masculin, Covasna, Anul 1994, Procente, 8.1
Masculin, Covasna, Anul 1995, Procente, 6
Masculin, Covasna, Anul 1996, Procente, 4.1
Masculin, Covasna, Anul 1997, Procente, 6.4
Masculin, Covasna, Anul 1998, Procente, 10.7
Masculin, Covasna, Anul 1999, Procente, 13.6
Masculin, Covasna, Anul 2000, Procente, 11.8
Masculin, Covasna, Anul 2001, Procente, 11.4
Masculin, Covasna, Anul 2002, Procente, 10.7
Masculin, Covasna, Anul 2003, Procente, 9.2
Masculin, Covasna, Anul 2004, Procente, 9.7
Masculin, Covasna, Anul 2005, Procente, 10.5
Masculin, Covasna, Anul 2006, Procente, 8.2
Masculin, Covasna, Anul 2007, Procente, 8
Masculin, Covasna, Anul 2008, Procente, 8.2
Masculin, Covasna, Anul 2009, Procente, 13.1
Masculin, Covasna, Anul 2010, Procente, 11.1
Masculin, Covasna, Anul 2011, Procente, 9.6
Masculin, Covasna, Anul 2012, Procente, 8.8
Masculin, Covasna, Anul 2013, Procente, 8.4
Masculin, Covasna, Anul 2014, Procente, 7.2
Masculin, Covasna, Anul 2015, Procente, 6.4
Masculin, Covasna, Anul 2016, Procente, 5.8
Masculin, Covasna, Anul 2017, Procente, 4.6
Masculin, Covasna, Anul 2018, Procente, 3.8
Masculin, Covasna, Anul 2019, Procente, 3.5
Masculin, Covasna, Anul 2020, Procente, 4.9
Masculin, Covasna, Anul 2021, Procente, 3.9
Masculin, Harghita, Anul 1991, Procente, 1.7
Masculin, Harghita, Anul 1992, Procente, 7.5
Masculin, Harghita, Anul 1993, Procente, 11.3
Masculin, Harghita, Anul 1994, Procente, 9.9
Masculin, Harghita, Anul 1995, Procente, 10.4
Masculin, Harghita, Anul 1996, Procente, 8.2
Masculin, Harghita, Anul 1997, Procente, 9.5
Masculin, Harghita, Anul 1998, Procente, 10.6
Masculin, Harghita, Anul 1999, Procente, 12
Masculin, Harghita, Anul 2000, Procente, 11.2
Masculin, Harghita, Anul 2001, Procente, 10.1
Masculin, Harghita, Anul 2002, Procente, 8.7
Masculin, Harghita, Anul 2003, Procente, 8
Masculin, Harghita, Anul 2004, Procente, 8
Masculin, Harghita, Anul 2005, Procente, 9.8
Masculin, Harghita, Anul 2006, Procente, 8.4
Masculin, Harghita, Anul 2007, Procente, 5.3
Masculin, Harghita, Anul 2008, Procente, 6.7
Masculin, Harghita, Anul 2009, Procente, 11.5
Masculin, Harghita, Anul 2010, Procente, 9.1
Masculin, Harghita, Anul 2011, Procente, 6.8
Masculin, Harghita, Anul 2012, Procente, 7.9
Masculin, Harghita, Anul 2013, Procente, 7.3
Masculin, Harghita, Anul 2014, Procente, 6.2
Masculin, Harghita, Anul 2015, Procente, 5.7
Masculin, Harghita, Anul 2016, Procente, 5.9
Masculin, Harghita, Anul 2017, Procente, 5.1
Masculin, Harghita, Anul 2018, Procente, 4.3
Masculin, Harghita, Anul 2019, Procente, 3.8
Masculin, Harghita, Anul 2020, Procente, 3.9
Masculin, Harghita, Anul 2021, Procente, 3.7
Masculin, Mures, Anul 1991, Procente, 1.8
Masculin, Mures, Anul 1992, Procente, 5.5
Masculin, Mures, Anul 1993, Procente, 7.9
Masculin, Mures, Anul 1994, Procente, 11.4
Masculin, Mures, Anul 1995, Procente, 10.3
Masculin, Mures, Anul 1996, Procente, 7.3
Masculin, Mures, Anul 1997, Procente, 9.3
Masculin, Mures, Anul 1998, Procente, 10
Masculin, Mures, Anul 1999, Procente, 9.6
Masculin, Mures, Anul 2000, Procente, 7.8
Masculin, Mures, Anul 2001, Procente, 6.8
Masculin, Mures, Anul 2002, Procente, 7.6
Masculin, Mures, Anul 2003, Procente, 7.2
Masculin, Mures, Anul 2004, Procente, 4.6
Masculin, Mures, Anul 2005, Procente, 4.9
Masculin, Mures, Anul 2006, Procente, 5.6
Masculin, Mures, Anul 2007, Procente, 4.4
Masculin, Mures, Anul 2008, Procente, 4.7
Masculin, Mures, Anul 2009, Procente, 8.4
Masculin, Mures, Anul 2010, Procente, 8.4
Masculin, Mures, Anul 2011, Procente, 6.3
Masculin, Mures, Anul 2012, Procente, 6.5
Masculin, Mures, Anul 2013, Procente, 5.8
Masculin, Mures, Anul 2014, Procente, 6.3
Masculin, Mures, Anul 2015, Procente, 5.1
Masculin, Mures, Anul 2016, Procente, 4.9
Masculin, Mures, Anul 2017, Procente, 4.4
Masculin, Mures, Anul 2018, Procente, 3.2
Masculin, Mures, Anul 2019, Procente, 2.7
Masculin, Mures, Anul 2020, Procente, 2.5
Masculin, Mures, Anul 2021, Procente, 2.3
Masculin, Sibiu, Anul 1991, Procente, 1.1
Masculin, Sibiu, Anul 1992, Procente, 5.5
Masculin, Sibiu, Anul 1993, Procente, 7.9
Masculin, Sibiu, Anul 1994, Procente, 10.8
Masculin, Sibiu, Anul 1995, Procente, 8.6
Masculin, Sibiu, Anul 1996, Procente, 5.5
Masculin, Sibiu, Anul 1997, Procente, 8.2
Masculin, Sibiu, Anul 1998, Procente, 11.3
Masculin, Sibiu, Anul 1999, Procente, 12.4
Masculin, Sibiu, Anul 2000, Procente, 10.7
Masculin, Sibiu, Anul 2001, Procente, 8.6
Masculin, Sibiu, Anul 2002, Procente, 7.2
Masculin, Sibiu, Anul 2003, Procente, 7
Masculin, Sibiu, Anul 2004, Procente, 6.5
Masculin, Sibiu, Anul 2005, Procente, 6.5
Masculin, Sibiu, Anul 2006, Procente, 5.5
Masculin, Sibiu, Anul 2007, Procente, 3.1
Masculin, Sibiu, Anul 2008, Procente, 3.1
Masculin, Sibiu, Anul 2009, Procente, 8.7
Masculin, Sibiu, Anul 2010, Procente, 6.3
Masculin, Sibiu, Anul 2011, Procente, 4.4
Masculin, Sibiu, Anul 2012, Procente, 4.9
Masculin, Sibiu, Anul 2013, Procente, 5.2
Masculin, Sibiu, Anul 2014, Procente, 5.1
Masculin, Sibiu, Anul 2015, Procente, 3.9
Masculin, Sibiu, Anul 2016, Procente, 3.6
Masculin, Sibiu, Anul 2017, Procente, 2.5
Masculin, Sibiu, Anul 2018, Procente, 1.8
Masculin, Sibiu, Anul 2019, Procente, 1.7
Masculin, Sibiu, Anul 2020, Procente, 2.5
Masculin, Sibiu, Anul 2021, Procente, 2
Masculin, Bacau, Anul 1991, Procente, 2.5
Masculin, Bacau, Anul 1992, Procente, 7.9
Masculin, Bacau, Anul 1993, Procente, 13.2
Masculin, Bacau, Anul 1994, Procente, 11.2
Masculin, Bacau, Anul 1995, Procente, 9.5
Masculin, Bacau, Anul 1996, Procente, 7.5
Masculin, Bacau, Anul 1997, Procente, 11
Masculin, Bacau, Anul 1998, Procente, 11.6
Masculin, Bacau, Anul 1999, Procente, 13.6
Masculin, Bacau, Anul 2000, Procente, 10.4
Masculin, Bacau, Anul 2001, Procente, 8.5
Masculin, Bacau, Anul 2002, Procente, 10
Masculin, Bacau, Anul 2003, Procente, 7.1
Masculin, Bacau, Anul 2004, Procente, 8.2
Masculin, Bacau, Anul 2005, Procente, 7.5
Masculin, Bacau, Anul 2006, Procente, 6.4
Masculin, Bacau, Anul 2007, Procente, 4.5
Masculin, Bacau, Anul 2008, Procente, 5.3
Masculin, Bacau, Anul 2009, Procente, 10
Masculin, Bacau, Anul 2010, Procente, 8.6
Masculin, Bacau, Anul 2011, Procente, 6.4
Masculin, Bacau, Anul 2012, Procente, 7.1
Masculin, Bacau, Anul 2013, Procente, 8.1
Masculin, Bacau, Anul 2014, Procente, 7.8
Masculin, Bacau, Anul 2015, Procente, 7.3
Masculin, Bacau, Anul 2016, Procente, 7.5
Masculin, Bacau, Anul 2017, Procente, 7.2
Masculin, Bacau, Anul 2018, Procente, 6.2
Masculin, Bacau, Anul 2019, Procente, 5.5
Masculin, Bacau, Anul 2020, Procente, 5.5
Masculin, Bacau, Anul 2021, Procente, 3.7
Masculin, Botosani, Anul 1991, Procente, 5
Masculin, Botosani, Anul 1992, Procente, 10.7
Masculin, Botosani, Anul 1993, Procente, 16.3
Masculin, Botosani, Anul 1994, Procente, 18.8
Masculin, Botosani, Anul 1995, Procente, 17.9
Masculin, Botosani, Anul 1996, Procente, 11.4
Masculin, Botosani, Anul 1997, Procente, 15.2
Masculin, Botosani, Anul 1998, Procente, 18.9
Masculin, Botosani, Anul 1999, Procente, 20.2
Masculin, Botosani, Anul 2000, Procente, 19.3
Masculin, Botosani, Anul 2001, Procente, 15
Masculin, Botosani, Anul 2002, Procente, 13.6
Masculin, Botosani, Anul 2003, Procente, 12.6
Masculin, Botosani, Anul 2004, Procente, 10.8
Masculin, Botosani, Anul 2005, Procente, 8
Masculin, Botosani, Anul 2006, Procente, 7.2
Masculin, Botosani, Anul 2007, Procente, 4.8
Masculin, Botosani, Anul 2008, Procente, 4
Masculin, Botosani, Anul 2009, Procente, 9
Masculin, Botosani, Anul 2010, Procente, 8
Masculin, Botosani, Anul 2011, Procente, 4.6
Masculin, Botosani, Anul 2012, Procente, 5.5
Masculin, Botosani, Anul 2013, Procente, 6.6
Masculin, Botosani, Anul 2014, Procente, 6.1
Masculin, Botosani, Anul 2015, Procente, 5.8
Masculin, Botosani, Anul 2016, Procente, 6.9
Masculin, Botosani, Anul 2017, Procente, 4.1
Masculin, Botosani, Anul 2018, Procente, 3.6
Masculin, Botosani, Anul 2019, Procente, 2.8
Masculin, Botosani, Anul 2020, Procente, 2.9
Masculin, Botosani, Anul 2021, Procente, 2.7
Masculin, Iasi, Anul 1991, Procente, 3.4
Masculin, Iasi, Anul 1992, Procente, 8.9
Masculin, Iasi, Anul 1993, Procente, 10.6
Masculin, Iasi, Anul 1994, Procente, 15.5
Masculin, Iasi, Anul 1995, Procente, 13.6
Masculin, Iasi, Anul 1996, Procente, 9.4
Masculin, Iasi, Anul 1997, Procente, 11.1
Masculin, Iasi, Anul 1998, Procente, 12.2
Masculin, Iasi, Anul 1999, Procente, 12.9
Masculin, Iasi, Anul 2000, Procente, 11.8
Masculin, Iasi, Anul 2001, Procente, 9.7
Masculin, Iasi, Anul 2002, Procente, 9.7
Masculin, Iasi, Anul 2003, Procente, 11.6
Masculin, Iasi, Anul 2004, Procente, 9.1
Masculin, Iasi, Anul 2005, Procente, 8.8
Masculin, Iasi, Anul 2006, Procente, 8.1
Masculin, Iasi, Anul 2007, Procente, 6.4
Masculin, Iasi, Anul 2008, Procente, 5.7
Masculin, Iasi, Anul 2009, Procente, 8.3
Masculin, Iasi, Anul 2010, Procente, 7.8
Masculin, Iasi, Anul 2011, Procente, 6
Masculin, Iasi, Anul 2012, Procente, 5.8
Masculin, Iasi, Anul 2013, Procente, 5.9
Masculin, Iasi, Anul 2014, Procente, 5.7
Masculin, Iasi, Anul 2015, Procente, 4.9
Masculin, Iasi, Anul 2016, Procente, 5
Masculin, Iasi, Anul 2017, Procente, 4.3
Masculin, Iasi, Anul 2018, Procente, 3.2
Masculin, Iasi, Anul 2019, Procente, 2.8
Masculin, Iasi, Anul 2020, Procente, 3.1
Masculin, Iasi, Anul 2021, Procente, 3.1
Masculin, Neamt, Anul 1991, Procente, 4.5
Masculin, Neamt, Anul 1992, Procente, 9.6
Masculin, Neamt, Anul 1993, Procente, 13.5
Masculin, Neamt, Anul 1994, Procente, 14.6
Masculin, Neamt, Anul 1995, Procente, 15.6
Masculin, Neamt, Anul 1996, Procente, 12.9
Masculin, Neamt, Anul 1997, Procente, 14.3
Masculin, Neamt, Anul 1998, Procente, 15.2
Masculin, Neamt, Anul 1999, Procente, 18.1
Masculin, Neamt, Anul 2000, Procente, 16.3
Masculin, Neamt, Anul 2001, Procente, 14.8
Masculin, Neamt, Anul 2002, Procente, 11.2
Masculin, Neamt, Anul 2003, Procente, 9.4
Masculin, Neamt, Anul 2004, Procente, 8.5
Masculin, Neamt, Anul 2005, Procente, 6.5
Masculin, Neamt, Anul 2006, Procente, 5.6
Masculin, Neamt, Anul 2007, Procente, 3.8
Masculin, Neamt, Anul 2008, Procente, 4.1
Masculin, Neamt, Anul 2009, Procente, 9
Masculin, Neamt, Anul 2010, Procente, 8.5
Masculin, Neamt, Anul 2011, Procente, 5.6
Masculin, Neamt, Anul 2012, Procente, 6.1
Masculin, Neamt, Anul 2013, Procente, 7.1
Masculin, Neamt, Anul 2014, Procente, 6.8
Masculin, Neamt, Anul 2015, Procente, 6.8
Masculin, Neamt, Anul 2016, Procente, 6.6
Masculin, Neamt, Anul 2017, Procente, 5.4
Masculin, Neamt, Anul 2018, Procente, 4.9
Masculin, Neamt, Anul 2019, Procente, 4.3
Masculin, Neamt, Anul 2020, Procente, 4.8
Masculin, Neamt, Anul 2021, Procente, 4.3
Masculin, Suceava, Anul 1991, Procente, 3.8
Masculin, Suceava, Anul 1992, Procente, 9.5
Masculin, Suceava, Anul 1993, Procente, 11
Masculin, Suceava, Anul 1994, Procente, 12.8
Masculin, Suceava, Anul 1995, Procente, 10.6
Masculin, Suceava, Anul 1996, Procente, 9.8
Masculin, Suceava, Anul 1997, Procente, 12.1
Masculin, Suceava, Anul 1998, Procente, 13.9
Masculin, Suceava, Anul 1999, Procente, 12.8
Masculin, Suceava, Anul 2000, Procente, 11.9
Masculin, Suceava, Anul 2001, Procente, 8.7
Masculin, Suceava, Anul 2002, Procente, 10.8
Masculin, Suceava, Anul 2003, Procente, 8.1
Masculin, Suceava, Anul 2004, Procente, 8.6
Masculin, Suceava, Anul 2005, Procente, 6.7
Masculin, Suceava, Anul 2006, Procente, 5.2
Masculin, Suceava, Anul 2007, Procente, 4
Masculin, Suceava, Anul 2008, Procente, 4.7
Masculin, Suceava, Anul 2009, Procente, 8.8
Masculin, Suceava, Anul 2010, Procente, 8
Masculin, Suceava, Anul 2011, Procente, 5.2
Masculin, Suceava, Anul 2012, Procente, 6.2
Masculin, Suceava, Anul 2013, Procente, 7.1
Masculin, Suceava, Anul 2014, Procente, 7.4
Masculin, Suceava, Anul 2015, Procente, 7
Masculin, Suceava, Anul 2016, Procente, 6.7
Masculin, Suceava, Anul 2017, Procente, 5.8
Masculin, Suceava, Anul 2018, Procente, 5.3
Masculin, Suceava, Anul 2019, Procente, 4.9
Masculin, Suceava, Anul 2020, Procente, 5
Masculin, Suceava, Anul 2021, Procente, 5.5
Masculin, Vaslui, Anul 1991, Procente, 5.3
Masculin, Vaslui, Anul 1992, Procente, 16.5
