Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Masculin, Bistrita-Nasaud, Anul 2009, Numar persoane, 43
Masculin, Bistrita-Nasaud, Anul 2010, Numar persoane, 45
Masculin, Bistrita-Nasaud, Anul 2011, Numar persoane, 127
Masculin, Bistrita-Nasaud, Anul 2012, Numar persoane, 169
Masculin, Bistrita-Nasaud, Anul 2013, Numar persoane, 157
Masculin, Bistrita-Nasaud, Anul 2014, Numar persoane, 96
Masculin, Bistrita-Nasaud, Anul 2015, Numar persoane, 138
Masculin, Bistrita-Nasaud, Anul 2016, Numar persoane, 180
Masculin, Bistrita-Nasaud, Anul 2017, Numar persoane, 175
Masculin, Bistrita-Nasaud, Anul 2018, Numar persoane, 212
Masculin, Bistrita-Nasaud, Anul 2019, Numar persoane, 169
Masculin, Bistrita-Nasaud, Anul 2020, Numar persoane, 122
Masculin, Bistrita-Nasaud, Anul 2021, Numar persoane, 232
Masculin, Bistrita-Nasaud, Anul 2022, Numar persoane, 270
Masculin, Cluj, Anul 1991, Numar persoane, 761
Masculin, Cluj, Anul 1992, Numar persoane, 665
Masculin, Cluj, Anul 1993, Numar persoane, 312
Masculin, Cluj, Anul 1994, Numar persoane, 256
Masculin, Cluj, Anul 1995, Numar persoane, 452
Masculin, Cluj, Anul 1996, Numar persoane, 400
Masculin, Cluj, Anul 1997, Numar persoane, 337
Masculin, Cluj, Anul 1998, Numar persoane, 265
Masculin, Cluj, Anul 1999, Numar persoane, 266
Masculin, Cluj, Anul 2000, Numar persoane, 315
Masculin, Cluj, Anul 2001, Numar persoane, 275
Masculin, Cluj, Anul 2002, Numar persoane, 240
Masculin, Cluj, Anul 2003, Numar persoane, 325
Masculin, Cluj, Anul 2004, Numar persoane, 264
Masculin, Cluj, Anul 2005, Numar persoane, 184
Masculin, Cluj, Anul 2006, Numar persoane, 206
Masculin, Cluj, Anul 2007, Numar persoane, 109
Masculin, Cluj, Anul 2008, Numar persoane, 143
Masculin, Cluj, Anul 2009, Numar persoane, 172
Masculin, Cluj, Anul 2010, Numar persoane, 129
Masculin, Cluj, Anul 2011, Numar persoane, 209
Masculin, Cluj, Anul 2012, Numar persoane, 210
Masculin, Cluj, Anul 2013, Numar persoane, 208
Masculin, Cluj, Anul 2014, Numar persoane, 156
Masculin, Cluj, Anul 2015, Numar persoane, 209
Masculin, Cluj, Anul 2016, Numar persoane, 302
Masculin, Cluj, Anul 2017, Numar persoane, 348
Masculin, Cluj, Anul 2018, Numar persoane, 346
Masculin, Cluj, Anul 2019, Numar persoane, 343
Masculin, Cluj, Anul 2020, Numar persoane, 228
Masculin, Cluj, Anul 2021, Numar persoane, 435
Masculin, Cluj, Anul 2022, Numar persoane, 583
Masculin, Maramures, Anul 1991, Numar persoane, 451
Masculin, Maramures, Anul 1992, Numar persoane, 405
Masculin, Maramures, Anul 1993, Numar persoane, 199
Masculin, Maramures, Anul 1994, Numar persoane, 194
Masculin, Maramures, Anul 1995, Numar persoane, 323
Masculin, Maramures, Anul 1996, Numar persoane, 321
Masculin, Maramures, Anul 1997, Numar persoane, 236
Masculin, Maramures, Anul 1998, Numar persoane, 149
Masculin, Maramures, Anul 1999, Numar persoane, 93
Masculin, Maramures, Anul 2000, Numar persoane, 153
Masculin, Maramures, Anul 2001, Numar persoane, 105
Masculin, Maramures, Anul 2002, Numar persoane, 76
Masculin, Maramures, Anul 2003, Numar persoane, 130
Masculin, Maramures, Anul 2004, Numar persoane, 136
Masculin, Maramures, Anul 2005, Numar persoane, 114
Masculin, Maramures, Anul 2006, Numar persoane, 132
Masculin, Maramures, Anul 2007, Numar persoane, 66
Masculin, Maramures, Anul 2008, Numar persoane, 79
Masculin, Maramures, Anul 2009, Numar persoane, 116
Masculin, Maramures, Anul 2010, Numar persoane, 79
Masculin, Maramures, Anul 2011, Numar persoane, 131
Masculin, Maramures, Anul 2012, Numar persoane, 139
Masculin, Maramures, Anul 2013, Numar persoane, 164
Masculin, Maramures, Anul 2014, Numar persoane, 123
Masculin, Maramures, Anul 2015, Numar persoane, 139
Masculin, Maramures, Anul 2016, Numar persoane, 204
Masculin, Maramures, Anul 2017, Numar persoane, 197
Masculin, Maramures, Anul 2018, Numar persoane, 241
Masculin, Maramures, Anul 2019, Numar persoane, 210
Masculin, Maramures, Anul 2020, Numar persoane, 198
Masculin, Maramures, Anul 2021, Numar persoane, 302
Masculin, Maramures, Anul 2022, Numar persoane, 432
Masculin, Satu Mare, Anul 1991, Numar persoane, 838
Masculin, Satu Mare, Anul 1992, Numar persoane, 722
Masculin, Satu Mare, Anul 1993, Numar persoane, 330
Masculin, Satu Mare, Anul 1994, Numar persoane, 376
Masculin, Satu Mare, Anul 1995, Numar persoane, 426
Masculin, Satu Mare, Anul 1996, Numar persoane, 475
Masculin, Satu Mare, Anul 1997, Numar persoane, 355
Masculin, Satu Mare, Anul 1998, Numar persoane, 249
Masculin, Satu Mare, Anul 1999, Numar persoane, 160
Masculin, Satu Mare, Anul 2000, Numar persoane, 270
Masculin, Satu Mare, Anul 2001, Numar persoane, 139
Masculin, Satu Mare, Anul 2002, Numar persoane, 102
Masculin, Satu Mare, Anul 2003, Numar persoane, 147
Masculin, Satu Mare, Anul 2004, Numar persoane, 202
Masculin, Satu Mare, Anul 2005, Numar persoane, 136
Masculin, Satu Mare, Anul 2006, Numar persoane, 153
Masculin, Satu Mare, Anul 2007, Numar persoane, 65
Masculin, Satu Mare, Anul 2008, Numar persoane, 79
Masculin, Satu Mare, Anul 2009, Numar persoane, 54
Masculin, Satu Mare, Anul 2010, Numar persoane, 53
Masculin, Satu Mare, Anul 2011, Numar persoane, 144
Masculin, Satu Mare, Anul 2012, Numar persoane, 107
Masculin, Satu Mare, Anul 2013, Numar persoane, 114
Masculin, Satu Mare, Anul 2014, Numar persoane, 90
Masculin, Satu Mare, Anul 2015, Numar persoane, 148
Masculin, Satu Mare, Anul 2016, Numar persoane, 186
Masculin, Satu Mare, Anul 2017, Numar persoane, 180
Masculin, Satu Mare, Anul 2018, Numar persoane, 218
Masculin, Satu Mare, Anul 2019, Numar persoane, 218
Masculin, Satu Mare, Anul 2020, Numar persoane, 134
Masculin, Satu Mare, Anul 2021, Numar persoane, 229
Masculin, Satu Mare, Anul 2022, Numar persoane, 287
Masculin, Salaj, Anul 1991, Numar persoane, 125
Masculin, Salaj, Anul 1992, Numar persoane, 162
Masculin, Salaj, Anul 1993, Numar persoane, 69
Masculin, Salaj, Anul 1994, Numar persoane, 52
Masculin, Salaj, Anul 1995, Numar persoane, 108
Masculin, Salaj, Anul 1996, Numar persoane, 81
Masculin, Salaj, Anul 1997, Numar persoane, 92
Masculin, Salaj, Anul 1998, Numar persoane, 90
Masculin, Salaj, Anul 1999, Numar persoane, 60
Masculin, Salaj, Anul 2000, Numar persoane, 64
Masculin, Salaj, Anul 2001, Numar persoane, 72
Masculin, Salaj, Anul 2002, Numar persoane, 63
Masculin, Salaj, Anul 2003, Numar persoane, 58
Masculin, Salaj, Anul 2004, Numar persoane, 48
Masculin, Salaj, Anul 2005, Numar persoane, 24
Masculin, Salaj, Anul 2006, Numar persoane, 31
Masculin, Salaj, Anul 2007, Numar persoane, 17
Masculin, Salaj, Anul 2008, Numar persoane, 21
Masculin, Salaj, Anul 2009, Numar persoane, 22
Masculin, Salaj, Anul 2010, Numar persoane, 23
Masculin, Salaj, Anul 2011, Numar persoane, 49
Masculin, Salaj, Anul 2012, Numar persoane, 43
Masculin, Salaj, Anul 2013, Numar persoane, 51
Masculin, Salaj, Anul 2014, Numar persoane, 28
Masculin, Salaj, Anul 2015, Numar persoane, 24
Masculin, Salaj, Anul 2016, Numar persoane, 58
Masculin, Salaj, Anul 2017, Numar persoane, 52
Masculin, Salaj, Anul 2018, Numar persoane, 76
Masculin, Salaj, Anul 2019, Numar persoane, 62
Masculin, Salaj, Anul 2020, Numar persoane, 62
Masculin, Salaj, Anul 2021, Numar persoane, 89
Masculin, Salaj, Anul 2022, Numar persoane, 124
Masculin, Alba, Anul 1991, Numar persoane, 616
Masculin, Alba, Anul 1992, Numar persoane, 320
Masculin, Alba, Anul 1993, Numar persoane, 290
Masculin, Alba, Anul 1994, Numar persoane, 130
Masculin, Alba, Anul 1995, Numar persoane, 233
Masculin, Alba, Anul 1996, Numar persoane, 148
Masculin, Alba, Anul 1997, Numar persoane, 147
Masculin, Alba, Anul 1998, Numar persoane, 67
Masculin, Alba, Anul 1999, Numar persoane, 72
Masculin, Alba, Anul 2000, Numar persoane, 84
Masculin, Alba, Anul 2001, Numar persoane, 68
Masculin, Alba, Anul 2002, Numar persoane, 37
Masculin, Alba, Anul 2003, Numar persoane, 61
Masculin, Alba, Anul 2004, Numar persoane, 66
Masculin, Alba, Anul 2005, Numar persoane, 44
Masculin, Alba, Anul 2006, Numar persoane, 89
Masculin, Alba, Anul 2007, Numar persoane, 46
Masculin, Alba, Anul 2008, Numar persoane, 59
Masculin, Alba, Anul 2009, Numar persoane, 44
Masculin, Alba, Anul 2010, Numar persoane, 40
Masculin, Alba, Anul 2011, Numar persoane, 107
Masculin, Alba, Anul 2012, Numar persoane, 143
Masculin, Alba, Anul 2013, Numar persoane, 104
Masculin, Alba, Anul 2014, Numar persoane, 77
Masculin, Alba, Anul 2015, Numar persoane, 84
Masculin, Alba, Anul 2016, Numar persoane, 127
Masculin, Alba, Anul 2017, Numar persoane, 121
Masculin, Alba, Anul 2018, Numar persoane, 184
Masculin, Alba, Anul 2019, Numar persoane, 183
Masculin, Alba, Anul 2020, Numar persoane, 117
Masculin, Alba, Anul 2021, Numar persoane, 208
Masculin, Alba, Anul 2022, Numar persoane, 268
Masculin, Brasov, Anul 1991, Numar persoane, 1727
Masculin, Brasov, Anul 1992, Numar persoane, 1000
Masculin, Brasov, Anul 1993, Numar persoane, 589
Masculin, Brasov, Anul 1994, Numar persoane, 480
Masculin, Brasov, Anul 1995, Numar persoane, 708
Masculin, Brasov, Anul 1996, Numar persoane, 516
Masculin, Brasov, Anul 1997, Numar persoane, 628
Masculin, Brasov, Anul 1998, Numar persoane, 427
Masculin, Brasov, Anul 1999, Numar persoane, 326
Masculin, Brasov, Anul 2000, Numar persoane, 454
Masculin, Brasov, Anul 2001, Numar persoane, 316
Masculin, Brasov, Anul 2002, Numar persoane, 225
Masculin, Brasov, Anul 2003, Numar persoane, 256
Masculin, Brasov, Anul 2004, Numar persoane, 271
Masculin, Brasov, Anul 2005, Numar persoane, 256
Masculin, Brasov, Anul 2006, Numar persoane, 324
Masculin, Brasov, Anul 2007, Numar persoane, 207
Masculin, Brasov, Anul 2008, Numar persoane, 180
Masculin, Brasov, Anul 2009, Numar persoane, 239
Masculin, Brasov, Anul 2010, Numar persoane, 127
Masculin, Brasov, Anul 2011, Numar persoane, 230
Masculin, Brasov, Anul 2012, Numar persoane, 202
Masculin, Brasov, Anul 2013, Numar persoane, 221
Masculin, Brasov, Anul 2014, Numar persoane, 169
Masculin, Brasov, Anul 2015, Numar persoane, 270
Masculin, Brasov, Anul 2016, Numar persoane, 424
Masculin, Brasov, Anul 2017, Numar persoane, 423
Masculin, Brasov, Anul 2018, Numar persoane, 480
Masculin, Brasov, Anul 2019, Numar persoane, 444
Masculin, Brasov, Anul 2020, Numar persoane, 345
Masculin, Brasov, Anul 2021, Numar persoane, 494
Masculin, Brasov, Anul 2022, Numar persoane, 761
Masculin, Covasna, Anul 1991, Numar persoane, 252
Masculin, Covasna, Anul 1992, Numar persoane, 253
Masculin, Covasna, Anul 1993, Numar persoane, 83
Masculin, Covasna, Anul 1994, Numar persoane, 90
Masculin, Covasna, Anul 1995, Numar persoane, 134
Masculin, Covasna, Anul 1996, Numar persoane, 90
Masculin, Covasna, Anul 1997, Numar persoane, 88
Masculin, Covasna, Anul 1998, Numar persoane, 46
Masculin, Covasna, Anul 1999, Numar persoane, 40
Masculin, Covasna, Anul 2000, Numar persoane, 52
Masculin, Covasna, Anul 2001, Numar persoane, 35
Masculin, Covasna, Anul 2002, Numar persoane, 30
Masculin, Covasna, Anul 2003, Numar persoane, 34
Masculin, Covasna, Anul 2004, Numar persoane, 46
Masculin, Covasna, Anul 2005, Numar persoane, 27
Masculin, Covasna, Anul 2006, Numar persoane, 49
Masculin, Covasna, Anul 2007, Numar persoane, 18
Masculin, Covasna, Anul 2008, Numar persoane, 21
Masculin, Covasna, Anul 2009, Numar persoane, 28
Masculin, Covasna, Anul 2010, Numar persoane, 23
Masculin, Covasna, Anul 2011, Numar persoane, 50
Masculin, Covasna, Anul 2012, Numar persoane, 32
Masculin, Covasna, Anul 2013, Numar persoane, 37
Masculin, Covasna, Anul 2014, Numar persoane, 21
Masculin, Covasna, Anul 2015, Numar persoane, 37
Masculin, Covasna, Anul 2016, Numar persoane, 55
Masculin, Covasna, Anul 2017, Numar persoane, 46
Masculin, Covasna, Anul 2018, Numar persoane, 50
Masculin, Covasna, Anul 2019, Numar persoane, 55
Masculin, Covasna, Anul 2020, Numar persoane, 28
Masculin, Covasna, Anul 2021, Numar persoane, 53
Masculin, Covasna, Anul 2022, Numar persoane, 79
Masculin, Harghita, Anul 1991, Numar persoane, 484
Masculin, Harghita, Anul 1992, Numar persoane, 494
Masculin, Harghita, Anul 1993, Numar persoane, 196
Masculin, Harghita, Anul 1994, Numar persoane, 166
Masculin, Harghita, Anul 1995, Numar persoane, 302
Masculin, Harghita, Anul 1996, Numar persoane, 160
Masculin, Harghita, Anul 1997, Numar persoane, 147
Masculin, Harghita, Anul 1998, Numar persoane, 101
Masculin, Harghita, Anul 1999, Numar persoane, 64
Masculin, Harghita, Anul 2000, Numar persoane, 83
Masculin, Harghita, Anul 2001, Numar persoane, 76
Masculin, Harghita, Anul 2002, Numar persoane, 73
Masculin, Harghita, Anul 2003, Numar persoane, 80
Masculin, Harghita, Anul 2004, Numar persoane, 164
Masculin, Harghita, Anul 2005, Numar persoane, 115
Masculin, Harghita, Anul 2006, Numar persoane, 103
Masculin, Harghita, Anul 2007, Numar persoane, 30
Masculin, Harghita, Anul 2008, Numar persoane, 25
Masculin, Harghita, Anul 2009, Numar persoane, 32
Masculin, Harghita, Anul 2010, Numar persoane, 25
Masculin, Harghita, Anul 2011, Numar persoane, 59
Masculin, Harghita, Anul 2012, Numar persoane, 48
Masculin, Harghita, Anul 2013, Numar persoane, 48
Masculin, Harghita, Anul 2014, Numar persoane, 48
Masculin, Harghita, Anul 2015, Numar persoane, 39
Masculin, Harghita, Anul 2016, Numar persoane, 48
Masculin, Harghita, Anul 2017, Numar persoane, 46
Masculin, Harghita, Anul 2018, Numar persoane, 46
Masculin, Harghita, Anul 2019, Numar persoane, 46
Masculin, Harghita, Anul 2020, Numar persoane, 36
Masculin, Harghita, Anul 2021, Numar persoane, 69
Masculin, Harghita, Anul 2022, Numar persoane, 101
Masculin, Mures, Anul 1991, Numar persoane, 1138
Masculin, Mures, Anul 1992, Numar persoane, 855
Masculin, Mures, Anul 1993, Numar persoane, 560
Masculin, Mures, Anul 1994, Numar persoane, 343
Masculin, Mures, Anul 1995, Numar persoane, 499
Masculin, Mures, Anul 1996, Numar persoane, 293
Masculin, Mures, Anul 1997, Numar persoane, 349
Masculin, Mures, Anul 1998, Numar persoane, 247
Masculin, Mures, Anul 1999, Numar persoane, 161
Masculin, Mures, Anul 2000, Numar persoane, 245
Masculin, Mures, Anul 2001, Numar persoane, 199
Masculin, Mures, Anul 2002, Numar persoane, 198
Masculin, Mures, Anul 2003, Numar persoane, 197
Masculin, Mures, Anul 2004, Numar persoane, 277
Masculin, Mures, Anul 2005, Numar persoane, 166
Masculin, Mures, Anul 2006, Numar persoane, 144
Masculin, Mures, Anul 2007, Numar persoane, 89
Masculin, Mures, Anul 2008, Numar persoane, 95
Masculin, Mures, Anul 2009, Numar persoane, 91
Masculin, Mures, Anul 2010, Numar persoane, 80
Masculin, Mures, Anul 2011, Numar persoane, 148
Masculin, Mures, Anul 2012, Numar persoane, 127
Masculin, Mures, Anul 2013, Numar persoane, 137
Masculin, Mures, Anul 2014, Numar persoane, 113
Masculin, Mures, Anul 2015, Numar persoane, 125
Masculin, Mures, Anul 2016, Numar persoane, 213
Masculin, Mures, Anul 2017, Numar persoane, 184
Masculin, Mures, Anul 2018, Numar persoane, 235
Masculin, Mures, Anul 2019, Numar persoane, 208
Masculin, Mures, Anul 2020, Numar persoane, 168
Masculin, Mures, Anul 2021, Numar persoane, 283
Masculin, Mures, Anul 2022, Numar persoane, 362
Masculin, Sibiu, Anul 1991, Numar persoane, 3734
Masculin, Sibiu, Anul 1992, Numar persoane, 2530
Masculin, Sibiu, Anul 1993, Numar persoane, 864
Masculin, Sibiu, Anul 1994, Numar persoane, 551
Masculin, Sibiu, Anul 1995, Numar persoane, 710
Masculin, Sibiu, Anul 1996, Numar persoane, 543
Masculin, Sibiu, Anul 1997, Numar persoane, 530
Masculin, Sibiu, Anul 1998, Numar persoane, 344
Masculin, Sibiu, Anul 1999, Numar persoane, 209
Masculin, Sibiu, Anul 2000, Numar persoane, 273
Masculin, Sibiu, Anul 2001, Numar persoane, 128
Masculin, Sibiu, Anul 2002, Numar persoane, 117
Masculin, Sibiu, Anul 2003, Numar persoane, 185
Masculin, Sibiu, Anul 2004, Numar persoane, 209
Masculin, Sibiu, Anul 2005, Numar persoane, 141
Masculin, Sibiu, Anul 2006, Numar persoane, 261
Masculin, Sibiu, Anul 2007, Numar persoane, 114
Masculin, Sibiu, Anul 2008, Numar persoane, 138
Masculin, Sibiu, Anul 2009, Numar persoane, 172
Masculin, Sibiu, Anul 2010, Numar persoane, 102
Masculin, Sibiu, Anul 2011, Numar persoane, 225
Masculin, Sibiu, Anul 2012, Numar persoane, 229
Masculin, Sibiu, Anul 2013, Numar persoane, 193
Masculin, Sibiu, Anul 2014, Numar persoane, 165
Masculin, Sibiu, Anul 2015, Numar persoane, 205
Masculin, Sibiu, Anul 2016, Numar persoane, 309
Masculin, Sibiu, Anul 2017, Numar persoane, 305
Masculin, Sibiu, Anul 2018, Numar persoane, 358
Masculin, Sibiu, Anul 2019, Numar persoane, 352
Masculin, Sibiu, Anul 2020, Numar persoane, 278
Masculin, Sibiu, Anul 2021, Numar persoane, 450
Masculin, Sibiu, Anul 2022, Numar persoane, 556
Masculin, Bacau, Anul 1991, Numar persoane, 95
Masculin, Bacau, Anul 1992, Numar persoane, 122
Masculin, Bacau, Anul 1993, Numar persoane, 69
Masculin, Bacau, Anul 1994, Numar persoane, 81
Masculin, Bacau, Anul 1995, Numar persoane, 103
Masculin, Bacau, Anul 1996, Numar persoane, 123
Masculin, Bacau, Anul 1997, Numar persoane, 136
Masculin, Bacau, Anul 1998, Numar persoane, 129
Masculin, Bacau, Anul 1999, Numar persoane, 123
Masculin, Bacau, Anul 2000, Numar persoane, 145
Masculin, Bacau, Anul 2001, Numar persoane, 166
Masculin, Bacau, Anul 2002, Numar persoane, 85
Masculin, Bacau, Anul 2003, Numar persoane, 133
Masculin, Bacau, Anul 2004, Numar persoane, 162
Masculin, Bacau, Anul 2005, Numar persoane, 217
Masculin, Bacau, Anul 2006, Numar persoane, 257
Masculin, Bacau, Anul 2007, Numar persoane, 99
Masculin, Bacau, Anul 2008, Numar persoane, 106
Masculin, Bacau, Anul 2009, Numar persoane, 125
Masculin, Bacau, Anul 2010, Numar persoane, 106
Masculin, Bacau, Anul 2011, Numar persoane, 182
Masculin, Bacau, Anul 2012, Numar persoane, 181
Masculin, Bacau, Anul 2013, Numar persoane, 177
Masculin, Bacau, Anul 2014, Numar persoane, 181
Masculin, Bacau, Anul 2015, Numar persoane, 251
Masculin, Bacau, Anul 2016, Numar persoane, 375
Masculin, Bacau, Anul 2017, Numar persoane, 359
Masculin, Bacau, Anul 2018, Numar persoane, 498
Masculin, Bacau, Anul 2019, Numar persoane, 536
Masculin, Bacau, Anul 2020, Numar persoane, 342
Masculin, Bacau, Anul 2021, Numar persoane, 633
Masculin, Bacau, Anul 2022, Numar persoane, 1096
Masculin, Botosani, Anul 1991, Numar persoane, 79
Masculin, Botosani, Anul 1992, Numar persoane, 40
Masculin, Botosani, Anul 1993, Numar persoane, 15
Masculin, Botosani, Anul 1994, Numar persoane, 24
Masculin, Botosani, Anul 1995, Numar persoane, 32
Masculin, Botosani, Anul 1996, Numar persoane, 58
Masculin, Botosani, Anul 1997, Numar persoane, 77
Masculin, Botosani, Anul 1998, Numar persoane, 65
Masculin, Botosani, Anul 1999, Numar persoane, 61
Masculin, Botosani, Anul 2000, Numar persoane, 68
Masculin, Botosani, Anul 2001, Numar persoane, 55
Masculin, Botosani, Anul 2002, Numar persoane, 56
Masculin, Botosani, Anul 2003, Numar persoane, 43
Masculin, Botosani, Anul 2004, Numar persoane, 47
Masculin, Botosani, Anul 2005, Numar persoane, 35
Masculin, Botosani, Anul 2006, Numar persoane, 47
Masculin, Botosani, Anul 2007, Numar persoane, 29
Masculin, Botosani, Anul 2008, Numar persoane, 39
Masculin, Botosani, Anul 2009, Numar persoane, 47
Masculin, Botosani, Anul 2010, Numar persoane, 39
Masculin, Botosani, Anul 2011, Numar persoane, 103
Masculin, Botosani, Anul 2012, Numar persoane, 101
Masculin, Botosani, Anul 2013, Numar persoane, 105
Masculin, Botosani, Anul 2014, Numar persoane, 84
Masculin, Botosani, Anul 2015, Numar persoane, 119
Masculin, Botosani, Anul 2016, Numar persoane, 152
Masculin, Botosani, Anul 2017, Numar persoane, 149
Masculin, Botosani, Anul 2018, Numar persoane, 192
Masculin, Botosani, Anul 2019, Numar persoane, 200
Masculin, Botosani, Anul 2020, Numar persoane, 158
Masculin, Botosani, Anul 2021, Numar persoane, 289
Masculin, Botosani, Anul 2022, Numar persoane, 479
Masculin, Iasi, Anul 1991, Numar persoane, 156
Masculin, Iasi, Anul 1992, Numar persoane, 116
Masculin, Iasi, Anul 1993, Numar persoane, 61
Masculin, Iasi, Anul 1994, Numar persoane, 72
Masculin, Iasi, Anul 1995, Numar persoane, 140
Masculin, Iasi, Anul 1996, Numar persoane, 131
Masculin, Iasi, Anul 1997, Numar persoane, 212
Masculin, Iasi, Anul 1998, Numar persoane, 201
Masculin, Iasi, Anul 1999, Numar persoane, 130
Masculin, Iasi, Anul 2000, Numar persoane, 186
Masculin, Iasi, Anul 2001, Numar persoane, 161
Masculin, Iasi, Anul 2002, Numar persoane, 57
Masculin, Iasi, Anul 2003, Numar persoane, 124
Masculin, Iasi, Anul 2004, Numar persoane, 139
Masculin, Iasi, Anul 2005, Numar persoane, 135
Masculin, Iasi, Anul 2006, Numar persoane, 195
Masculin, Iasi, Anul 2007, Numar persoane, 135
Masculin, Iasi, Anul 2008, Numar persoane, 109
Masculin, Iasi, Anul 2009, Numar persoane, 171
Masculin, Iasi, Anul 2010, Numar persoane, 128
Masculin, Iasi, Anul 2011, Numar persoane, 359
Masculin, Iasi, Anul 2012, Numar persoane, 301
Masculin, Iasi, Anul 2013, Numar persoane, 285
Masculin, Iasi, Anul 2014, Numar persoane, 222
Masculin, Iasi, Anul 2015, Numar persoane, 367
Masculin, Iasi, Anul 2016, Numar persoane, 565
Masculin, Iasi, Anul 2017, Numar persoane, 702
Masculin, Iasi, Anul 2018, Numar persoane, 805
Masculin, Iasi, Anul 2019, Numar persoane, 862
Masculin, Iasi, Anul 2020, Numar persoane, 840
Masculin, Iasi, Anul 2021, Numar persoane, 1461
Masculin, Iasi, Anul 2022, Numar persoane, 2473
Masculin, Neamt, Anul 1991, Numar persoane, 103
Masculin, Neamt, Anul 1992, Numar persoane, 87
Masculin, Neamt, Anul 1993, Numar persoane, 50
Masculin, Neamt, Anul 1994, Numar persoane, 73
Masculin, Neamt, Anul 1995, Numar persoane, 88
Masculin, Neamt, Anul 1996, Numar persoane, 116
Masculin, Neamt, Anul 1997, Numar persoane, 132
Masculin, Neamt, Anul 1998, Numar persoane, 132
Masculin, Neamt, Anul 1999, Numar persoane, 101
Masculin, Neamt, Anul 2000, Numar persoane, 173
Masculin, Neamt, Anul 2001, Numar persoane, 208
Masculin, Neamt, Anul 2002, Numar persoane, 165
Masculin, Neamt, Anul 2003, Numar persoane, 107
Masculin, Neamt, Anul 2004, Numar persoane, 155
Masculin, Neamt, Anul 2005, Numar persoane, 208
Masculin, Neamt, Anul 2006, Numar persoane, 287
Masculin, Neamt, Anul 2007, Numar persoane, 147
Masculin, Neamt, Anul 2008, Numar persoane, 112
Masculin, Neamt, Anul 2009, Numar persoane, 111
Masculin, Neamt, Anul 2010, Numar persoane, 80
Masculin, Neamt, Anul 2011, Numar persoane, 161
Masculin, Neamt, Anul 2012, Numar persoane, 141
Masculin, Neamt, Anul 2013, Numar persoane, 134
Masculin, Neamt, Anul 2014, Numar persoane, 109
Masculin, Neamt, Anul 2015, Numar persoane, 161
